kHz;mV
0.89406967;0.00039742
0.90003014;0.00131398
0.9059906;0.0022269
0.91195107;0.00287737
0.91791153;0.00277731
0.92387199;0.00237235
0.92983246;0.00169257
0.93579292;0.00034597
0.94175339;0.00081999
0.94771385;0.0020341
0.95367432;0.00281056
0.95963478;0.00286831
0.96559525;0.00267687
0.97155571;0.00196222
0.97751617;0.00462646
0.98347664;0.03289549
0.9894371;0.08634578
0.99539757;0.1134806
1.00135803;0.1148537
1.0073185;0.1064752
1.01327896;0.06233216
1.01923943;0.01521265
1.02519989;0.00156098
1.03116035;0.00184775
1.03712082;0.00253588
1.04308128;0.00282689
1.04904175;0.00274021
1.05500221;0.0018698
1.06096268;0.00100884
1.06692314;0.00062457
1.07288361;0.00145903
1.07884407;0.00196081
1.08480453;0.00247797
1.090765;0.00247408
1.09672546;0.0018389
1.10268593;0.00101489
1.10864639;0.00026757
1.11460686;0.00113806
1.12056732;0.00183186
1.12652779;0.0023532
1.13248825;0.00227488
1.13844872;0.00189546
1.14440918;0.00119386
1.15036964;0.00026726
1.15633011;0.00055073
1.16229057;0.00135831
1.16825104;0.00192542
1.1742115;0.00205159
1.18017197;0.00185958
1.18613243;0.00113156
1.1920929;0.00054789
1.19805336;0.00055835
1.20401382;0.00134299
1.20997429;0.00199919
1.21593475;0.0024171
1.22189522;0.00237193
1.22785568;0.00184725
1.23381615;0.00123514
1.23977661;0.00015325
1.24573708;0.00107343
1.25169754;0.0020349
1.257658;0.0029251
1.26361847;0.00305896
1.26957893;0.00277681
1.2755394;0.002226
1.28149986;0.00115569
1.28746033;0.00118693
1.29342079;0.0023434
1.29938126;0.00340611
1.30534172;0.0033599
1.31130219;0.0030729
1.31726265;0.00220044
1.32322311;0.00067798
1.32918358;0.00057262
1.33514404;0.00093719
1.34110451;0.00115864
1.34706497;0.00113922
1.35302544;0.00112882
1.3589859;0.00090216
1.36494637;0.00050009
1.37090683;0.00032682
1.37686729;0.00133017
1.38282776;0.00182919
1.38878822;0.00200491
1.39474869;0.00198416
1.40070915;0.00126265
1.40666962;0.0004544
1.41263008;0.00059269
1.41859055;0.00138799
1.42455101;0.00177731
1.43051147;0.00212958
