MHz;V
0.2117157;0.00007348
0.21209717;0.00008878
0.21247864;0.00008564
0.21286011;0.00005335
0.21324158;0.00006782
0.21362305;0.00011731
0.21400452;0.00013101
0.21438599;0.00010669
0.21476746;0.00004845
0.21514893;0.00001619
0.2155304;0.00006011
0.21591187;0.00009416
0.21629333;0.00010652
0.2166748;0.00010801
0.21705627;0.00012503
0.21743774;0.00012181
0.21781921;0.00011481
0.21820068;0.00009637
0.21858215;0.00007128
0.21896362;0.00004136
0.21934509;0.00001485
0.21972656;0.00006774
0.22010803;0.00010595
0.2204895;0.00012691
0.22087097;0.00013031
0.22125244;0.00011548
0.22163391;0.00008816
0.22201538;0.00004407
0.22239685;0.00002213
0.22277832;0.00005971
0.22315979;0.00010621
0.22354126;0.00011201
0.22392273;0.00004998
0.2243042;0.00004432
0.22468567;0.00011586
0.22506714;0.00014183
0.22544861;0.00013638
0.22583008;0.00010618
0.22621155;0.00007916
0.22659302;0.00008989
0.22697449;0.00011674
0.22735596;0.0001391
0.22773743;0.00015485
0.2281189;0.00015355
0.22850037;0.00014451
0.22888184;0.00013366
0.22926331;0.00012636
0.22964478;0.00012408
0.23002625;0.00011218
0.23040771;0.00009306
0.23078918;0.00007477
0.23117065;0.00007281
0.23155212;0.00009272
0.23193359;0.00010187
0.23231506;0.00008706
0.23269653;0.00006202
0.233078;0.00004805
0.23345947;0.00002299
0.23384094;0.00004873
0.23422241;0.00008738
0.23460388;0.00008526
0.23498535;0.00008699
0.23536682;0.00006812
0.23574829;0.00004595
0.23612976;0.00006778
0.23651123;0.00007189
0.2368927;0.00008994
0.23727417;0.00011577
0.23765564;0.00016515
0.23803711;0.00019317
0.23841858;0.00016494
0.23880005;0.0001385
0.23918152;0.00014259
0.23956299;0.00012956
0.23994446;0.00011322
0.24032593;0.00010204
0.2407074;0.00007669
0.24108887;0.00003202
0.24147034;0.00001537
0.24185181;0.00002411
0.24223328;0.00003453
0.24261475;0.00002069
0.24299622;0.00004288
0.24337769;0.00009514
0.24375916;0.00016293
0.24414063;0.00020922
0.24452209;0.00022301
0.24490356;0.00018582
0.24528503;0.00016155
0.2456665;0.00013575
0.24604797;0.00011219
0.24642944;0.00008746
0.24681091;0.00011464
0.24719238;0.00010171
0.24757385;0.00025015
0.24795532;0.00151107
0.24833679;0.00467778
0.24871826;0.01078915
0.24909973;0.02060287
0.2494812;0.02811261
0.24986267;0.03111072
0.25024414;0.03055038
0.25062561;0.0235252
0.25100708;0.01448002
0.25138855;0.00780149
0.25177002;0.00330742
0.25215149;0.0012129
0.25253296;0.00026946
0.25291443;0.00006436
0.2532959;0.00011821
0.25367737;0.00012725
0.25405884;0.00011886
0.25444031;0.00013171
0.25482178;0.0001155
0.25520325;0.00008908
0.25558472;0.00009542
0.25596619;0.00013452
0.25634766;0.00013237
0.25672913;0.00011196
0.2571106;0.00007181
0.25749207;0.00005116
0.25787354;0.00011207
0.258255;0.00012115
0.25863647;0.00010797
0.25901794;0.00011325
0.25939941;0.00011629
0.25978088;0.00012075
0.26016235;0.00014936
0.26054382;0.00018548
0.26092529;0.00020909
0.26130676;0.00020344
0.26168823;0.00016529
0.2620697;0.00011186
0.26245117;0.00003448
0.26283264;0.00006067
0.26321411;0.0001
0.26359558;0.00012245
0.26397705;0.00010023
0.26435852;0.00005484
0.26473999;0.00010274
0.26512146;0.00013985
0.26550293;0.00013975
0.2658844;0.00013091
0.26626587;0.00009691
0.26664734;0.00005035
0.26702881;0.00004339
0.26741028;0.0000351
0.26779175;0.00004409
0.26817322;0.00004377
0.26855469;0.00002695
0.26893616;0.0000262
0.26931763;0.00007643
0.2696991;0.00009748
0.27008057;0.00006438
0.27046204;0.00004194
0.27084351;0.000027
0.27122498;0.00002471
0.27160645;0.00002749
0.27198792;0.00003949
0.27236938;0.00003401
0.27275085;0.00002436
0.27313232;0.00002005
0.27351379;0.00003652
0.27389526;0.00006464
0.27427673;0.00009415
0.2746582;0.00011454
0.27503967;0.00012145
0.27542114;0.00008952
0.27580261;0.00005302
0.27618408;0.000046
0.27656555;0.00003063
0.27694702;0.00002421
0.27732849;0.00007386
0.27770996;0.00008529
0.27809143;0.00006464
0.2784729;0.00004386
0.27885437;0.00006412
0.27923584;0.00005888
0.27961731;0.00005212
0.27999878;0.00006062
0.28038025;0.00006657
0.28076172;0.00007437
0.28114319;0.0000616
0.28152466;0.00004706
0.28190613;0.00006164
0.2822876;0.00007316
0.28266907;0.00008863
0.28305054;0.00011088
0.28343201;0.00012145
0.28381348;0.00010046
0.28419495;0.00005324
0.28457642;0.00001073
0.28495789;0.00003042
0.28533936;0.00005112
0.28572083;0.00008883
0.28610229;0.00009958
0.28648376;0.00008647
0.28686523;0.00006497
0.2872467;0.00003575
0.28762817;0.00001283
0.28800964;0.0000284
0.28839111;0.00004898
0.28877258;0.00007483
0.28915405;0.00010492
0.28953552;0.00011739
0.28991699;0.00009311
0.29029846;0.00006236
0.29067993;0.00009258
0.2910614;0.00012801
0.29144287;0.00013308
0.29182434;0.00011837
0.29220581;0.00009673
0.29258728;0.00007855
0.29296875;0.00008379
0.29335022;0.00004607
0.29373169;0.00005392
0.29411316;0.00009
0.29449463;0.00012353
0.2948761;0.00010562
0.29525757;0.00004283
0.29563904;0.00001664
0.29602051;0.00003119
0.29640198;0.00002515
0.29678345;0.00006398
0.29716492;0.00008855
0.29754639;0.00010453
