MHz;mV
0.08125305;0.03872015
0.08163452;0.04027323
0.08201599;0.03562003
0.08239746;0.02938315
0.08277893;0.09459781
0.0831604;0.1470138
0.08354187;0.1674845
0.08392334;0.175928
0.08430481;0.1232845
0.08468628;0.05380156
0.08506775;0.02650686
0.08544922;0.01318933
0.08583069;0.0083728
0.08621216;0.00368263
0.08659363;0.00451319
0.0869751;0.00811779
0.08735657;0.00878497
0.08773804;0.01154502
0.08811951;0.01570464
0.08850098;0.01770676
0.08888245;0.02063404
0.08926392;0.01843378
0.08964539;0.01023276
0.09002686;0.00060124
0.09040833;0.00616699
0.09078979;0.0077073
0.09117126;0.00635794
0.09155273;0.00241504
0.0919342;0.00933139
0.09231567;0.01378688
0.09269714;0.01454785
0.09307861;0.01453623
0.09346008;0.01443159
0.09384155;0.01416141
0.09422302;0.01576765
0.09460449;0.0112634
0.09498596;0.00437489
0.09536743;0.01169708
0.0957489;0.0171364
0.09613037;0.02194167
0.09651184;0.02329889
0.09689331;0.02199061
0.09727478;0.02024948
0.09765625;0.0212403
0.09803772;0.02656733
0.09841919;0.02897451
0.09880066;0.02671783
0.09918213;0.02324745
0.0995636;0.01817487
0.09994507;0.01658203
0.10032654;0.01776906
0.10070801;0.01128059
0.10108948;0.00179014
0.10147095;0.00819874
0.10185242;0.01257038
0.10223389;0.01238858
0.10261536;0.00750428
0.10299683;0.00093478
0.1033783;0.00452489
0.10375977;0.00742725
0.10414124;0.01160181
0.10452271;0.01352953
0.10490417;0.0157026
0.10528564;0.01902308
0.10566711;0.02019409
0.10604858;0.01479465
0.10643005;0.01145303
0.10681152;0.00970013
0.10719299;0.00205495
0.10757446;0.00586176
0.10795593;0.01053684
0.1083374;0.01633624
0.10871887;0.01461182
0.10910034;0.01015212
0.10948181;0.00657872
0.10986328;0.00812533
0.11024475;0.01285977
0.11062622;0.01342998
0.11100769;0.0113069
0.11138916;0.01476831
0.11177063;0.02140805
0.1121521;0.02215058
0.11253357;0.01586215
0.11291504;0.00783767
0.11329651;0.01077526
0.11367798;0.0179562
0.11405945;0.01899881
0.11444092;0.01575597
0.11482239;0.01227846
0.11520386;0.00273827
0.11558533;0.00475891
0.1159668;0.00904283
0.11634827;0.01198627
0.11672974;0.01340215
0.11711121;0.01436567
0.11749268;0.01563184
0.11787415;0.01946755
0.11825562;0.0207467
0.11863708;0.01848422
0.11901855;0.01252977
0.11940002;0.01078298
0.11978149;0.00826773
0.12016296;0.00770295
0.12054443;0.00939528
0.1209259;0.01104545
0.12130737;0.00366431
0.12168884;0.00640227
0.12207031;0.01510963
0.12245178;0.02604639
0.12283325;0.03255734
0.12321472;0.03062004
0.12359619;0.02622971
0.12397766;0.0167588
0.12435913;0.00882789
