MHz;V
0.15678406;0.00009926
0.15716553;0.00009246
0.157547;0.0001118
0.15792847;0.00013913
0.15830994;0.00015985
0.15869141;0.00018276
0.15907288;0.00017098
0.15945435;0.00014562
0.15983582;0.000145
0.16021729;0.00012653
0.16059875;0.00013346
0.16098022;0.00016276
0.16136169;0.00015783
0.16174316;0.00014278
0.16212463;0.00012487
0.1625061;0.00007707
0.16288757;0.00004094
0.16326904;0.00002888
0.16365051;0.00004077
0.16403198;0.00013573
0.16441345;0.00080465
0.16479492;0.00216149
0.16517639;0.00238087
0.16555786;0.00750923
0.16593933;0.00963392
0.1663208;0.00732391
0.16670227;0.00717034
0.16708374;0.00440182
0.16746521;0.00630572
0.16784668;0.00469384
0.16822815;0.00226667
0.16860962;0.00201806
0.16899109;0.0005945
0.16937256;0.0000778
0.16975403;0.00003372
0.1701355;0.00002892
0.17051697;0.00004489
0.17089844;0.00008015
0.17127991;0.00012731
0.17166138;0.00014695
0.17204285;0.00016502
0.17242432;0.00015925
0.17280579;0.00012627
0.17318726;0.00012268
0.17356873;0.00013922
0.1739502;0.00014484
0.17433167;0.00017572
0.17471313;0.00018148
0.1750946;0.00015569
0.17547607;0.00013294
0.17585754;0.00010764
0.17623901;0.00009332
0.17662048;0.00010254
0.17700195;0.00010431
0.17738342;0.00008586
0.17776489;0.00007467
0.17814636;0.00009582
0.17852783;0.00010808
0.1789093;0.00010906
0.17929077;0.00010819
0.17967224;0.00008365
0.18005371;0.00008842
0.18043518;0.00012685
0.18081665;0.00016185
0.18119812;0.00018236
0.18157959;0.00015833
0.18196106;0.00010081
0.18234253;0.00004537
0.182724;0.00001516
0.18310547;0.00005202
0.18348694;0.00006925
0.18386841;0.000081
0.18424988;0.00008955
0.18463135;0.0000732
0.18501282;0.00009049
0.18539429;0.00008927
0.18577576;0.00008643
0.18615723;0.00009238
0.1865387;0.00011785
0.18692017;0.00013937
0.18730164;0.00011965
0.18768311;0.00004464
0.18806458;0.00003018
0.18844604;0.00009614
0.18882751;0.00013623
0.18920898;0.00013233
0.18959045;0.00010175
0.18997192;0.00005914
0.19035339;0.00005763
0.19073486;0.00009909
0.19111633;0.00012293
0.1914978;0.00010125
0.19187927;0.00009246
0.19226074;0.00009636
0.19264221;0.00008354
0.19302368;0.00008356
0.19340515;0.00007186
0.19378662;0.00007098
0.19416809;0.00007363
0.19454956;0.00006643
0.19493103;0.00003596
0.1953125;0.00003701
0.19569397;0.0000374
0.19607544;0.0000257
0.19645691;0.00000384
0.19683838;0.00005142
0.19721985;0.00007912
0.19760132;0.00006192
0.19798279;0.00004502
0.19836426;0.00004879
0.19874573;0.00006198
0.1991272;0.00007754
0.19950867;0.00004097
0.19989014;0.0000222
0.20027161;0.00004859
0.20065308;0.0000433
0.20103455;0.00001364
0.20141602;0.00007275
0.20179749;0.00009904
0.20217896;0.00009773
0.20256042;0.00006688
0.20294189;0.00005076
0.20332336;0.00007066
0.20370483;0.00007957
0.2040863;0.00004428
0.20446777;0.00002893
0.20484924;0.00007024
0.20523071;0.00009136
0.20561218;0.00009182
0.20599365;0.00007249
0.20637512;0.00002442
0.20675659;0.00004106
0.20713806;0.00005642
0.20751953;0.00005885
0.207901;0.00007768
0.20828247;0.00007292
0.20866394;0.00010558
0.20904541;0.00016534
0.20942688;0.00020264
0.20980835;0.00018367
0.21018982;0.00014876
0.21057129;0.0001186
0.21095276;0.00008461
0.21133423;0.00007163
0.2117157;0.00003613
0.21209717;0.00001857
0.21247864;0.00004556
0.21286011;0.00007045
0.21324158;0.00010492
0.21362305;0.00013611
0.21400452;0.00012614
0.21438599;0.00006909
0.21476746;0.0000377
0.21514893;0.00010017
0.2155304;0.00012657
0.21591187;0.00010168
0.21629333;0.00009762
0.2166748;0.00011745
0.21705627;0.00012402
0.21743774;0.00012625
0.21781921;0.00013167
0.21820068;0.00014196
0.21858215;0.00013206
0.21896362;0.00012458
0.21934509;0.00010053
0.21972656;0.00005343
0.22010803;0.00004434
0.2204895;0.00006932
0.22087097;0.00007379
0.22125244;0.00006999
0.22163391;0.00006028
0.22201538;0.00004964
0.22239685;0.00005988
0.22277832;0.00006523
0.22315979;0.00006022
0.22354126;0.00006362
0.22392273;0.00006833
0.2243042;0.00007246
0.22468567;0.00008754
0.22506714;0.00006347
0.22544861;0.00004571
0.22583008;0.0000446
0.22621155;0.00001905
0.22659302;0.00002527
0.22697449;0.00003985
0.22735596;0.00005143
0.22773743;0.00007866
0.2281189;0.00008574
0.22850037;0.00008952
0.22888184;0.00008945
0.22926331;0.00009514
0.22964478;0.00011612
0.23002625;0.00013729
0.23040771;0.00012832
0.23078918;0.00008941
0.23117065;0.00007444
0.23155212;0.00005966
0.23193359;0.00002643
0.23231506;0.00003406
0.23269653;0.00004488
0.233078;0.00005216
0.23345947;0.00002224
0.23384094;0.00007275
0.23422241;0.00011876
0.23460388;0.0001412
0.23498535;0.00013461
0.23536682;0.00010314
0.23574829;0.00007322
0.23612976;0.00003893
0.23651123;0.00006545
0.2368927;0.00011028
0.23727417;0.00012145
0.23765564;0.0000995
0.23803711;0.00004792
0.23841858;0.00004126
0.23880005;0.00009311
0.23918152;0.00011154
0.23956299;0.00010809
0.23994446;0.00006138
0.24032593;0.00005655
0.2407074;0.00011122
0.24108887;0.00014375
0.24147034;0.00014977
0.24185181;0.00011557
0.24223328;0.00005183
0.24261475;0.00006313
0.24299622;0.00012357
0.24337769;0.00017439
0.24375916;0.00016495
0.24414063;0.00009109
0.24452209;0.00004447
0.24490356;0.00007556
0.24528503;0.00009269
0.2456665;0.00006889
0.24604797;0.00005399
0.24642944;0.00007048
0.24681091;0.00008303
0.24719238;0.00010703
0.24757385;0.00024456
0.24795532;0.00142564
0.24833679;0.00362329
0.24871826;0.00321976
0.24909973;0.01003402
0.2494812;0.01374567
0.24986267;0.0122355
0.25024414;0.01197926
0.25062561;0.00624511
0.25100708;0.00497764
0.25138855;0.00425588
0.25177002;0.00149188
0.25215149;0.00118209
0.25253296;0.00042098
0.25291443;0.00015433
0.2532959;0.00010874
0.25367737;0.00005999
0.25405884;0.0000375
0.25444031;0.00007156
0.25482178;0.00006999
0.25520325;0.00006349
0.25558472;0.00008948
0.25596619;0.00010764
0.25634766;0.00008478
0.25672913;0.00001949
0.2571106;0.00006876
0.25749207;0.00014785
0.25787354;0.00020829
0.258255;0.00024327
0.25863647;0.00023192
0.25901794;0.0002024
0.25939941;0.00017337
0.25978088;0.00013644
0.26016235;0.00010603
0.26054382;0.0000831
0.26092529;0.00010816
0.26130676;0.00010758
0.26168823;0.00005885
0.2620697;0.00002424
0.26245117;0.00004154
0.26283264;0.000066
0.26321411;0.00004158
0.26359558;0.00003526
0.26397705;0.00006551
0.26435852;0.00009879
0.26473999;0.00009125
0.26512146;0.00008991
0.26550293;0.0001025
0.2658844;0.00008597
0.26626587;0.00007402
0.26664734;0.00010051
0.26702881;0.00009929
0.26741028;0.00005748
0.26779175;0.00003344
0.26817322;0.00009929
0.26855469;0.00010253
0.26893616;0.0000731
0.26931763;0.00002914
0.2696991;0.00004537
0.27008057;0.00005963
0.27046204;0.00006846
0.27084351;0.00003649
0.27122498;0.00004372
0.27160645;0.000094
0.27198792;0.00010456
0.27236938;0.00008976
0.27275085;0.00004308
0.27313232;0.00006036
0.27351379;0.00007801
0.27389526;0.00004974
0.27427673;0.00001295
0.2746582;0.0000155
0.27503967;0.00003888
0.27542114;0.00006648
0.27580261;0.00010347
0.27618408;0.00011593
0.27656555;0.00011333
0.27694702;0.00010931
0.27732849;0.00011391
0.27770996;0.00013318
0.27809143;0.00014219
0.2784729;0.00012007
0.27885437;0.00008243
0.27923584;0.00007972
0.27961731;0.0000809
0.27999878;0.00008472
0.28038025;0.00007749
0.28076172;0.0000486
0.28114319;0.00004475
0.28152466;0.00007133
0.28190613;0.00006002
0.2822876;0.00006127
0.28266907;0.00008321
0.28305054;0.00006639
0.28343201;0.00005302
0.28381348;0.000038
0.28419495;0.00002732
0.28457642;0.00003172
0.28495789;0.00003703
0.28533936;0.00005986
0.28572083;0.00008991
0.28610229;0.00013273
0.28648376;0.0001889
0.28686523;0.0002218
0.2872467;0.00021666
0.28762817;0.00019421
0.28800964;0.0001491
0.28839111;0.00009495
0.28877258;0.00005127
0.28915405;0.00007397
0.28953552;0.00009135
0.28991699;0.00004748
0.29029846;0.00000759
0.29067993;0.00003967
0.2910614;0.00008346
0.29144287;0.00007768
0.29182434;0.0000368
0.29220581;0.00003066
0.29258728;0.00006316
0.29296875;0.00008785
0.29335022;0.00010438
0.29373169;0.00011533
0.29411316;0.00009912
0.29449463;0.00005773
0.2948761;0.00004165
0.29525757;0.00007229
0.29563904;0.00010151
0.29602051;0.000108
0.29640198;0.00010485
0.29678345;0.00010937
0.29716492;0.00013471
0.29754639;0.00012275
0.29792786;0.00008964
0.29830933;0.00011115
0.2986908;0.00017406
0.29907227;0.00020503
0.29945374;0.00019314
0.29983521;0.0001838
0.30021667;0.00018387
0.30059814;0.00017536
0.30097961;0.00020418
0.30136108;0.00023449
0.30174255;0.00022501
0.30212402;0.00018102
0.30250549;0.00010805
0.30288696;0.00004418
0.30326843;0.00009041
0.3036499;0.00008503
0.30403137;0.00006104
0.30441284;0.00003978
0.30479431;0.00005299
0.30517578;0.00008806
0.30555725;0.00011594
0.30593872;0.00013097
0.30632019;0.00010672
0.30670166;0.00008593
0.30708313;0.00007629
0.3074646;0.00004655
0.30784607;0.00004819
0.30822754;0.00009693
0.30860901;0.00012179
0.30899048;0.00013409
0.30937195;0.0000928
0.30975342;0.00006548
0.31013489;0.00004777
0.31051636;0.00005412
0.31089783;0.00006085
0.3112793;0.00004602
0.31166077;0.00005434
0.31204224;0.00007828
0.31242371;0.00009293
0.31280518;0.00008696
0.31318665;0.00004197
0.31356812;0.00004009
0.31394958;0.00003322
0.31433105;0.00002507
0.31471252;0.00002845
0.31509399;0.00003707
0.31547546;0.0000523
0.31585693;0.00007859
0.3162384;0.00008388
0.31661987;0.00009067
0.31700134;0.00009641
0.31738281;0.00010308
0.31776428;0.0001189
0.31814575;0.00008014
0.31852722;0.00008808
0.31890869;0.00011996
0.31929016;0.00012674
0.31967163;0.00013052
0.3200531;0.0000875
0.32043457;0.00006982
0.32081604;0.00005537
0.32119751;0.0000652
0.32157898;0.00006673
0.32196045;0.00008812
0.32234192;0.00005832
0.32272339;0.00005003
0.32310486;0.0000728
0.32348633;0.00005241
0.3238678;0.00005191
0.32424927;0.00005288
0.32463074;0.000078
0.32501221;0.00008032
0.32539368;0.00000992
0.32577515;0.00004433
0.32615662;0.00009203
0.32653809;0.00010635
0.32691956;0.00013266
0.32730103;0.00011436
0.3276825;0.00014237
0.32806396;0.00012062
0.32844543;0.00015688
0.3288269;0.00016318
0.32920837;0.00017849
0.32958984;0.00014314
0.32997131;0.0001516
0.33035278;0.00013618
0.33073425;0.00029519
0.33111572;0.00053206
0.33149719;0.00184056
0.33187866;0.00948142
0.33226013;0.04277858
0.3326416;0.106152
0.33302307;0.1423337
0.33340454;0.1449793
0.33378601;0.1353424
0.33416748;0.08464827
0.33454895;0.0265264
0.33493042;0.0049436
0.33531189;0.00092289
0.33569336;0.00066023
0.33607483;0.00024754
0.3364563;0.00014105
0.33683777;0.00014312
0.33721924;0.00016767
0.33760071;0.00017524
0.33798218;0.00016573
0.33836365;0.0001355
0.33874512;0.00015313
0.33912659;0.00015245
0.33950806;0.00015811
0.33988953;0.00015165
0.340271;0.00011763
0.34065247;0.00007504
0.34103394;0.00003113
0.34141541;0.00005549
0.34179688;0.00010475
0.34217834;0.00009699
0.34255981;0.00005174
0.34294128;0.00003599
0.34332275;0.00004716
0.34370422;0.00005683
0.34408569;0.00005719
0.34446716;0.00007455
0.34484863;0.00008135
0.3452301;0.0000624
0.34561157;0.00005529
0.34599304;0.00006152
0.34637451;0.00007968
0.34675598;0.00011151
0.34713745;0.00013624
0.34751892;0.00012392
0.34790039;0.00010354
0.34828186;0.00005259
0.34866333;0.00007349
0.3490448;0.00010744
0.34942627;0.00008963
0.34980774;0.00008336
0.35018921;0.00008693
0.35057068;0.00007339
0.35095215;0.00007407
0.35133362;0.00004081
0.35171509;0.00003096
0.35209656;0.00003977
0.35247803;0.00004066
0.3528595;0.00003804
0.35324097;0.00005286
0.35362244;0.00006916
0.35400391;0.00010428
0.35438538;0.00009469
0.35476685;0.00007543
0.35514832;0.00005543
0.35552979;0.00005926
0.35591125;0.00007658
0.35629272;0.00006005
0.35667419;0.00005925
0.35705566;0.00008484
0.35743713;0.00011441
0.3578186;0.00014187
0.35820007;0.00011767
0.35858154;0.00008704
0.35896301;0.00003469
0.35934448;0.00005199
0.35972595;0.00007971
0.36010742;0.0000836
0.36048889;0.00010086
0.36087036;0.0001115
0.36125183;0.00009233
0.3616333;0.00007276
0.36201477;0.00004184
0.36239624;0.0000366
0.36277771;0.00004988
0.36315918;0.00007625
0.36354065;0.0000684
0.36392212;0.00005847
0.36430359;0.00015797
0.36468506;0.00020978
0.36506653;0.00024447
0.365448;0.00023625
0.36582947;0.00019599
0.36621094;0.00017486
0.36659241;0.00019311
0.36697388;0.00019121
0.36735535;0.00020822
0.36773682;0.00020395
0.36811829;0.00015356
0.36849976;0.00008848
0.36888123;0.00008554
0.3692627;0.00011179
0.36964417;0.00010304
0.37002563;0.00007189
0.3704071;0.00007316
