us;mV
-4.90782163;56.19068
-4.90282163;56.39515
-4.89782163;56.19068
-4.89282163;56.39515
-4.88782163;56.19068
-4.88282163;56.39515
-4.87782163;56.19068
-4.87282163;56.39515
-4.86782163;55.28123
-4.86282163;55.4796
-4.85782163;55.28123
-4.85282163;55.4796
-4.84782163;54.37177
-4.84282163;54.56709
-4.83782163;55.28123
-4.83282163;54.56709
-4.82782163;54.37177
-4.82282163;54.56709
-4.81782163;54.37177
-4.81282163;54.56709
-4.80782163;54.37177
-4.80282163;54.56709
-4.79782163;54.37177
-4.79282163;54.56709
-4.78782163;54.37177
-4.78282163;53.65459
-4.77782163;53.46232
-4.77282163;53.65459
-4.76782163;53.46232
-4.76282163;52.74209
-4.75782163;53.46232
-4.75282163;52.74209
-4.74782163;52.55287
-4.74282163;52.74209
-4.73782163;52.55287
-4.73282163;52.74209
-4.72782163;52.55287
-4.72282163;52.74209
-4.71782163;52.55287
-4.71282163;52.74209
-4.70782163;51.64037
-4.70282163;52.74209
-4.69782163;51.64037
-4.69282163;51.82958
-4.68782163;51.64037
-4.68282163;51.82958
-4.67782163;50.73092
-4.67282163;50.91708
-4.66782163;50.73092
-4.66282164;50.91708
-4.65782164;50.73092
-4.65282164;50.91708
-4.64782164;50.73092
-4.64282164;50.91708
-4.63782164;50.73092
-4.63282164;50.91708
-4.62782164;50.73092
-4.62282164;50.91708
-4.61782164;50.73092
-4.61282164;50.91708
-4.60782164;49.82146
-4.60282164;50.00458
-4.59782164;50.73092
-4.59282164;50.00458
-4.58782164;49.82146
-4.58282164;49.09208
-4.57782164;49.82146
-4.57282164;49.09208
-4.56782164;48.91201
-4.56282164;49.09208
-4.55782164;48.91201
-4.55282164;49.09208
-4.54782164;48.91201
-4.54282164;49.09208
-4.53782164;48.91201
-4.53282164;49.09208
-4.52782164;48.91201
-4.52282164;49.09208
-4.51782164;48.00256
-4.51282164;48.17957
-4.50782164;48.00256
-4.50282164;48.17957
-4.49782164;48.00256
-4.49282164;48.17957
-4.48782164;47.09311
-4.48282164;47.26707
-4.47782164;47.09311
-4.47282164;47.26707
-4.46782164;47.09311
-4.46282164;47.26707
-4.45782164;47.09311
-4.45282164;47.26707
-4.44782164;47.09311
-4.44282164;47.26707
-4.43782164;47.09311
-4.43282164;46.35151
-4.42782164;47.09311
-4.42282164;46.35151
-4.41782164;46.18366
-4.41282164;46.35151
-4.40782164;46.18366
-4.40282164;46.35151
-4.39782164;46.18366
-4.39282164;46.35151
-4.38782164;46.18366
-4.38282164;45.43901
-4.37782164;45.27421
-4.37282164;45.43901
-4.36782164;45.27421
-4.36282164;45.43901
-4.35782164;45.27421
-4.35282164;45.43901
-4.34782164;45.27421
-4.34282164;45.43901
-4.33782164;44.36475
-4.33282164;45.43901
-4.32782164;44.36475
-4.32282164;44.5265
-4.31782164;44.36475
-4.31282164;44.5265
-4.30782164;44.36475
-4.30282164;44.5265
-4.29782164;43.4553
-4.29282164;43.614
-4.28782164;43.4553
-4.28282164;43.614
-4.27782164;43.4553
-4.27282164;43.614
-4.26782164;43.4553
-4.26282164;43.614
-4.25782164;43.4553
-4.25282164;43.614
-4.24782164;43.4553
-4.24282164;42.7015
-4.23782164;43.4553
-4.23282164;43.614
-4.22782164;43.4553
-4.22282164;43.614
-4.21782164;43.4553
-4.21282164;42.7015
-4.20782164;42.54585
-4.20282164;41.78899
-4.19782164;42.54585
-4.19282164;41.78899
-4.18782164;41.63335
-4.18282164;41.78899
-4.17782164;41.63335
-4.17282164;41.78899
-4.16782164;41.63335
-4.16282164;41.78899
-4.15782164;41.63335
-4.15282164;41.78899
-4.14782164;40.7239
-4.14282164;40.87649
-4.13782164;41.63335
-4.13282164;41.78899
-4.12782164;40.7239
-4.12282164;40.87649
-4.11782164;40.7239
-4.11282164;40.87649
-4.10782164;39.81445
-4.10282164;40.87649
-4.09782164;40.7239
-4.09282164;40.87649
-4.08782164;39.81445
-4.08282164;39.96399
-4.07782164;39.81445
-4.07282164;39.96399
-4.06782164;39.81445
-4.06282164;39.96399
-4.05782164;39.81445
-4.05282164;39.96399
-4.04782164;39.81445
-4.04282164;39.96399
-4.03782164;39.81445
-4.03282164;39.05148
-4.02782164;38.90499
-4.02282164;39.05148
-4.01782164;39.81445
-4.01282164;39.05148
-4.00782164;38.90499
-4.00282164;39.05148
-3.99782164;38.90499
-3.99282164;39.05148
-3.98782164;38.90499
-3.98282164;38.13898
-3.97782164;38.90499
-3.97282164;38.13898
-3.96782164;38.90499
-3.96282164;38.13898
-3.95782164;37.99554
-3.95282164;38.13898
-3.94782164;37.99554
-3.94282164;38.13898
-3.93782164;37.99554
-3.93282164;38.13898
-3.92782164;37.99554
-3.92282164;37.22648
-3.91782164;37.99554
-3.91282164;37.22648
-3.90782164;37.99554
-3.90282164;37.22648
-3.89782164;37.08609
-3.89282164;37.22648
-3.88782164;36.17664
