t (s),V (mV),Corr
80.962,12.3302,12.3302
81.961,12.3141,12.3141
82.961,12.2974,12.2974
83.961,12.2886,12.2886
84.961,12.2686,12.2686
85.961,12.2498,12.2498
86.962,12.2412,12.2412
87.962,12.2275,12.2275
88.961,12.2143,12.2143
89.962,12.1909,12.1909
90.962,12.1788,12.1788
91.961,12.1653,12.1653
92.962,12.1531,12.1531
93.962,12.1303,12.1303
94.961,12.1133,12.1133
95.962,12.1088,12.1088
96.962,12.0893,12.0893
97.961,12.0794,12.0794
98.962,12.0624,12.0624
99.962,12.0548,12.0548
100.961,12.0328,12.0328
101.967,12.0263,12.0263
102.962,12.0119,12.0119
103.962,11.9965,11.9965
104.962,11.9829,11.9829
105.961,11.968,11.968
106.962,11.9566,11.9566
107.961,11.94,11.94
108.961,11.9228,11.9228
109.962,11.9066,11.9066
110.961,11.8938,11.8938
111.962,11.8804,11.8804
112.962,11.8694,11.8694
113.961,11.8521,11.8521
114.962,11.8371,11.8371
115.962,11.8228,11.8228
116.961,11.8105,11.8105
117.962,11.792,11.792
118.961,11.782,11.782
119.966,11.7657,11.7657
120.961,11.7526,11.7526
121.961,11.7375,11.7375
122.962,11.7291,11.7291
123.961,11.7126,11.7126
124.962,11.7003,11.7003
125.962,11.6827,11.6827
126.962,11.6772,11.6772
127.962,11.6638,11.6638
128.962,11.6438,11.6438
129.962,11.6339,11.6339
130.962,11.6217,11.6217
131.966,11.6127,11.6127
132.962,11.5988,11.5988
133.962,11.5752,11.5752
134.962,11.566,11.566
135.962,11.5549,11.5549
136.961,11.5427,11.5427
137.962,11.5333,11.5333
138.962,11.5179,11.5179
139.961,11.5017,11.5017
140.962,11.4858,11.4858
141.961,11.4682,11.4682
142.962,11.4656,11.4656
143.961,11.4558,11.4558
144.962,11.4361,11.4361
145.962,11.4228,11.4228
146.962,11.4121,11.4121
147.961,11.3954,11.3954
148.962,11.3843,11.3843
149.966,11.3668,11.3668
150.962,11.3502,11.3502
151.962,11.3388,11.3388
152.962,11.3327,11.3327
153.962,11.3199,11.3199
154.962,11.3025,11.3025
155.961,11.2915,11.2915
156.962,11.2819,11.2819
157.961,11.2665,11.2665
158.961,11.2514,11.2514
159.962,11.2408,11.2408
160.961,11.2322,11.2322
161.962,11.2194,11.2194
162.962,11.2055,11.2055
163.962,11.1912,11.1912
164.961,11.1811,11.1811
165.962,11.1679,11.1679
166.962,11.1511,11.1511
167.961,11.1442,11.1442
168.962,11.1297,11.1297
169.961,11.1181,11.1181
170.962,11.1046,11.1046
171.962,11.0924,11.0924
172.961,11.0783,11.0783
173.962,11.0676,11.0676
174.962,11.0573,11.0573
175.961,11.0467,11.0467
176.961,11.0392,11.0392
177.962,11.0273,11.0273
178.962,11.0106,11.0106
179.961,11.0017,11.0017
180.961,10.9869,10.9869
181.962,10.9758,10.9758
182.962,10.9643,10.9643
183.962,10.9473,10.9473
184.961,10.9428,10.9428
185.962,10.9218,10.9218
186.962,10.9116,10.9116
187.962,10.9061,10.9061
188.962,10.8924,10.8924
189.962,10.883,10.883
190.961,10.8707,10.8707
191.966,10.8587,10.8587
192.962,10.8477,10.8477
193.962,10.8339,10.8339
194.963,10.8255,10.8255
195.962,10.8162,10.8162
196.962,10.8011,10.8011
197.962,10.7893,10.7893
198.962,10.7764,10.7764
199.962,10.7653,10.7653
200.961,10.7557,10.7557
201.962,10.7474,10.7474
202.961,10.7289,10.7289
203.962,10.7174,10.7174
204.962,10.7032,10.7032
205.962,10.6976,10.6976
206.962,10.6862,10.6862
207.961,10.6733,10.6733
208.962,10.6563,10.6563
209.962,10.6457,10.6457
210.961,10.6317,10.6317
211.961,10.6183,10.6183
212.962,10.6113,10.6113
213.962,10.6046,10.6046
214.96,10.5885,10.5885
215.96,10.5833,10.5833
216.961,10.5656,10.5656
217.961,10.5553,10.5553
218.96,10.5433,10.5433
219.961,10.5381,10.5381
220.961,10.5271,10.5271
221.96,10.5135,10.5135
222.961,10.5,10.5
223.96,10.4916,10.4916
224.961,10.4802,10.4802
225.96,10.4675,10.4675
226.961,10.4533,10.4533
227.96,10.4392,10.4392
228.961,10.4264,10.4264
229.96,10.424,10.424
230.961,10.4106,10.4106
231.96,10.4019,10.4019
232.961,10.3893,10.3893
233.961,10.3817,10.3817
234.961,10.3711,10.3711
235.961,10.359,10.359
236.96,10.3488,10.3488
237.96,10.3364,10.3364
238.96,10.3212,10.3212
239.96,10.3128,10.3128
240.96,10.3027,10.3027
241.96,10.2914,10.2914
242.961,10.2806,10.2806
243.96,10.261,10.261
244.96,10.2475,10.2475
245.96,10.2364,10.2364
246.961,10.2248,10.2248
247.96,10.2163,10.2163
248.96,10.2033,10.2033
249.961,10.1917,10.1917
250.96,10.1789,10.1789
251.961,10.1683,10.1683
252.96,10.1556,10.1556
253.961,10.1489,10.1489
254.96,10.1354,10.1354
255.961,10.1243,10.1243
256.961,10.1066,10.1066
257.96,10.1014,10.1014
258.961,10.0871,10.0871
259.96,10.0772,10.0772
260.961,10.0685,10.0685
261.96,10.0529,10.0529
262.961,10.0444,10.0444
263.96,10.0344,10.0344
264.961,10.0236,10.0236
265.96,10.0134,10.0134
266.961,9.9967,9.9967
267.961,9.9893,9.9893
268.962,9.9757,9.9757
269.961,9.9674,9.9674
270.961,9.957,9.957
271.962,9.945,9.945
272.962,9.9328,9.9328
273.961,9.9254,9.9254
274.962,9.9142,9.9142
275.962,9.9012,9.9012
276.962,9.8945,9.8945
277.961,9.8832,9.8832
278.962,9.871,9.871
279.962,9.8585,9.8585
280.962,9.8507,9.8507
281.974,9.8412,9.8412
282.961,9.8302,9.8302
283.961,9.8193,9.8193
284.962,9.8077,9.8077
285.962,9.7937,9.7937
286.962,9.7823,9.7823
287.961,9.775,9.775
288.962,9.7629,9.7629
289.961,9.7466,9.7466
290.961,9.7376,9.7376
291.962,9.7274,9.7274
292.962,9.7225,9.7225
293.961,9.7133,9.7133
294.962,9.706,9.706
295.961,9.6951,9.6951
296.961,9.686,9.686
297.962,9.6767,9.6767
298.962,9.6641,9.6641
299.961,9.6581,9.6581
300.962,9.6435,9.6435
301.961,9.6393,9.6393
302.961,9.6264,9.6264
303.962,9.6148,9.6148
304.961,9.6006,9.6006
305.962,9.5907,9.5907
306.961,9.5826,9.5826
307.962,9.5715,9.5715
308.962,9.5644,9.5644
309.961,9.5555,9.5555
310.962,9.5408,9.5408
311.961,9.5323,9.5323
312.962,9.5245,9.5245
313.962,9.5152,9.5152
314.961,9.5049,9.5049
315.961,9.4941,9.4941
316.962,9.4828,9.4828
317.966,9.4739,9.4739
318.962,9.4629,9.4629
319.961,9.4511,9.4511
320.962,9.439,9.439
321.961,9.4328,9.4328
322.961,9.422,9.422
323.962,9.4127,9.4127
324.962,9.4023,9.4023
325.961,9.3933,9.3933
326.962,9.3834,9.3834
327.962,9.3737,9.3737
328.961,9.3628,9.3628
329.962,9.3514,9.3514
330.962,9.3423,9.3423
331.961,9.3337,9.3337
332.961,9.3224,9.3224
333.962,9.3148,9.3148
334.962,9.3071,9.3071
335.962,9.2976,9.2976
336.962,9.2874,9.2874
337.961,9.2758,9.2758
338.961,9.2664,9.2664
339.962,9.2512,9.2512
340.961,9.2438,9.2438
341.962,9.2325,9.2325
342.961,9.2214,9.2214
343.962,9.2133,9.2133
344.962,9.2014,9.2014
345.962,9.1919,9.1919
346.962,9.1854,9.1854
347.962,9.1704,9.1704
348.962,9.1663,9.1663
349.962,9.1535,9.1535
350.961,9.1455,9.1455
351.961,9.139,9.139
352.962,9.1276,9.1276
353.961,9.1201,9.1201
354.962,9.1079,9.1079
355.961,9.0942,9.0942
356.961,9.0836,9.0836
357.962,9.078,9.078
358.961,9.0649,9.0649
359.962,9.0594,9.0594
360.961,9.0518,9.0518
361.962,9.0349,9.0349
362.962,9.0263,9.0263
363.961,9.0212,9.0212
364.961,9.0109,9.0109
365.966,9.0027,9.0027
366.961,8.9925,8.9925
367.961,8.9807,8.9807
368.962,8.974,8.974
369.962,8.9631,8.9631
370.961,8.9572,8.9572
371.966,8.94,8.94
372.961,8.9298,8.9298
373.962,8.9233,8.9233
374.962,8.9137,8.9137
375.961,8.905,8.905
376.962,8.8987,8.8987
377.961,8.8936,8.8936
378.962,8.888,8.888
379.961,8.8766,8.8766
380.962,8.865,8.865
381.962,8.8581,8.8581
382.962,8.8441,8.8441
383.966,8.8332,8.8332
384.961,8.8273,8.8273
385.961,8.8204,8.8204
386.961,8.8111,8.8111
387.962,8.8035,8.8035
388.967,8.7884,8.7884
389.962,8.7836,8.7836
390.962,8.7697,8.7697
391.962,8.766,8.766
392.962,8.752,8.752
393.961,8.7425,8.7425
394.961,8.7285,8.7285
395.962,8.7197,8.7197
396.962,8.7142,8.7142
397.962,8.7035,8.7035
398.962,8.6967,8.6967
399.961,8.6876,8.6876
400.962,8.6804,8.6804
401.961,8.6717,8.6717
402.962,8.6591,8.6591
403.962,8.6504,8.6504
404.961,8.643,8.643
405.962,8.6319,8.6319
406.961,8.6277,8.6277
407.962,8.6189,8.6189
408.962,8.611,8.611
409.961,8.6012,8.6012
410.962,8.5932,8.5932
411.961,8.5848,8.5848
412.962,8.577,8.577
413.961,8.5699,8.5699
414.962,8.5615,8.5615
415.962,8.552,8.552
416.961,8.5429,8.5429
417.962,8.5287,8.5287
418.961,8.5283,8.5283
419.962,8.5145,8.5145
420.962,8.5133,8.5133
421.961,8.5028,8.5028
422.962,8.4923,8.4923
423.962,8.4855,8.4855
424.961,8.4753,8.4753
425.962,8.4679,8.4679
426.961,8.4599,8.4599
427.962,8.4513,8.4513
428.961,8.4401,8.4401
429.962,8.4289,8.4289
430.961,8.4206,8.4206
431.962,8.4094,8.4094
432.961,8.4006,8.4006
433.961,8.3916,8.3916
434.964,8.3836,8.3836
435.962,8.3776,8.3776
436.961,8.3661,8.3661
437.966,8.3572,8.3572
438.962,8.3485,8.3485
439.962,8.3399,8.3399
440.961,8.3331,8.3331
441.962,8.3253,8.3253
442.961,8.316,8.316
443.966,8.3103,8.3103
444.962,8.3017,8.3017
445.962,8.2921,8.2921
446.962,8.2806,8.2806
447.962,8.2783,8.2783
448.962,8.2663,8.2663
449.962,8.255,8.255
450.961,8.2495,8.2495
451.961,8.2343,8.2343
452.962,8.2267,8.2267
453.961,8.224,8.224
454.962,8.2176,8.2176
455.962,8.2051,8.2051
456.962,8.1957,8.1957
457.961,8.191,8.191
458.962,8.1845,8.1845
459.961,8.1699,8.1699
460.962,8.1621,8.1621
461.961,8.1625,8.1625
462.962,8.1497,8.1497
463.962,8.147,8.147
464.961,8.1343,8.1343
465.962,8.1384,8.1384
466.962,8.1278,8.1278
467.961,8.1219,8.1219
468.962,8.1201,8.1201
469.961,8.1073,8.1073
470.962,8.105,8.105
471.961,8.0944,8.0944
472.962,8.0779,8.0779
473.962,8.0828,8.0828
474.961,8.0659,8.0659
475.962,8.0621,8.0621
476.962,8.052,8.052
477.961,8.0433,8.0433
478.962,8.0252,8.0252
479.967,8.0183,8.0183
480.962,8.0063,8.0063
481.961,8.0006,8.0006
482.962,7.9924,7.9924
483.962,7.9831,7.9831
484.962,7.9735,7.9735
485.966,7.9696,7.9696
486.962,7.9625,7.9625
487.962,7.9536,7.9536
488.961,7.9438,7.9438
489.962,7.9394,7.9394
490.962,7.926,7.926
491.961,7.9172,7.9172
492.962,7.9057,7.9057
493.962,7.9058,7.9058
494.961,7.8997,7.8997
495.962,7.8861,7.8861
496.962,7.8725,7.8725
497.961,7.8724,7.8724
498.962,7.8641,7.8641
499.962,7.856,7.856
500.961,7.8401,7.8401
501.962,7.8385,7.8385
502.961,7.8315,7.8315
503.962,7.8318,7.8318
504.961,7.8183,7.8183
505.962,7.8104,7.8104
506.962,7.8037,7.8037
507.961,7.7915,7.7915
508.962,7.7828,7.7828
509.961,7.7742,7.7742
510.962,7.7665,7.7665
511.962,7.7564,7.7564
512.962,7.7507,7.7507
513.961,7.7407,7.7407
514.962,7.73,7.73
515.966,7.7222,7.7222
516.962,7.7169,7.7169
517.961,7.7087,7.7087
518.962,7.7048,7.7048
519.961,7.6953,7.6953
520.962,7.6876,7.6876
521.966,7.6749,7.6749
522.962,7.669,7.669
523.962,7.6592,7.6592
524.961,7.643,7.643
525.962,7.6311,7.6311
526.962,7.6237,7.6237
527.961,7.6224,7.6224
528.962,7.6076,7.6076
529.961,7.5953,7.5953
530.962,7.5899,7.5899
531.962,7.5835,7.5835
532.961,7.5759,7.5759
533.962,7.5619,7.5619
534.962,7.5593,7.5593
535.962,7.5503,7.5503
536.961,7.5414,7.5414
537.962,7.5358,7.5358
538.962,7.5276,7.5276
539.962,7.5222,7.5222
540.961,7.5136,7.5136
541.961,7.5076,7.5076
542.962,7.5015,7.5015
543.961,7.4897,7.4897
544.962,7.4836,7.4836
545.962,7.4715,7.4715
546.961,7.4654,7.4654
547.962,7.4625,7.4625
548.961,7.4581,7.4581
549.962,7.4503,7.4503
550.962,7.4412,7.4412
551.961,7.4346,7.4346
552.962,7.4272,7.4272
553.961,7.4219,7.4219
554.963,7.4106,7.4106
555.961,7.3997,7.3997
556.961,7.401,7.401
557.967,7.3786,7.3786
558.961,7.3786,7.3786
559.961,7.3689,7.3689
560.962,7.3601,7.3601
561.962,7.3568,7.3568
562.961,7.3394,7.3394
563.961,7.3403,7.3403
564.962,7.3352,7.3352
565.962,7.325,7.325
566.962,7.3148,7.3148
567.961,7.31,7.31
568.961,7.2993,7.2993
569.966,7.2923,7.2923
570.962,7.287,7.287
571.962,7.2828,7.2828
572.961,7.2702,7.2702
573.962,7.2619,7.2619
574.962,7.2547,7.2547
575.961,7.2408,7.2408
576.962,7.2284,7.2284
577.962,7.2254,7.2254
578.962,7.2209,7.2209
579.961,7.2194,7.2194
580.961,7.2107,7.2107
581.967,7.205,7.205
582.961,7.1939,7.1939
583.962,7.1803,7.1803
584.961,7.1809,7.1809
585.961,7.1775,7.1775
586.962,7.1689,7.1689
587.961,7.1567,7.1567
588.962,7.1536,7.1536
589.962,7.1448,7.1448
590.962,7.1313,7.1313
591.961,7.1127,7.1127
592.961,7.1063,7.1063
593.962,7.1016,7.1016
594.962,7.0946,7.0946
595.961,7.0919,7.0919
596.962,7.0845,7.0845
597.962,7.0773,7.0773
598.962,7.0835,7.0835
599.962,7.0693,7.0693
600.961,7.0605,7.0605
601.961,7.051,7.051
602.962,7.0452,7.0452
603.962,7.0389,7.0389
604.961,7.0327,7.0327
605.962,7.0254,7.0254
606.962,7.0108,7.0108
607.961,7.0118,7.0118
608.962,7.0038,7.0038
609.962,6.9947,6.9947
610.961,6.9889,6.9889
611.961,6.9708,6.9708
612.961,6.971,6.971
613.962,6.9621,6.9621
614.962,6.9537,6.9537
615.961,6.9466,6.9466
616.961,6.9418,6.9418
617.961,6.9331,6.9331
618.961,6.9269,6.9269
619.962,6.9166,6.9166
620.962,6.9084,6.9084
621.962,6.9031,6.9031
622.962,6.8977,6.8977
623.962,6.8923,6.8923
624.962,6.8828,6.8828
625.962,6.8781,6.8781
626.961,6.8683,6.8683
627.961,6.8644,6.8644
628.962,6.8546,6.8546
629.962,6.8511,6.8511
630.962,6.84,6.84
631.962,6.8397,6.8397
632.961,6.8329,6.8329
633.961,6.8301,6.8301
634.962,6.8205,6.8205
635.962,6.8148,6.8148
636.962,6.8064,6.8064
637.961,6.7966,6.7966
638.962,6.7934,6.7934
639.961,6.7729,6.7729
640.961,6.7823,6.7823
641.962,6.7755,6.7755
642.961,6.7645,6.7645
643.962,6.7603,6.7603
644.961,6.7519,6.7519
645.962,6.749,6.749
646.962,6.738,6.738
647.962,6.7266,6.7266
648.962,6.7194,6.7194
649.961,6.7182,6.7182
650.961,6.7123,6.7123
651.962,6.7029,6.7029
652.961,6.6949,6.6949
653.966,6.6832,6.6832
654.961,6.6738,6.6738
655.962,6.6744,6.6744
656.962,6.6615,6.6615
657.962,6.6538,6.6538
658.961,6.6473,6.6473
659.962,6.6404,6.6404
660.961,6.6339,6.6339
661.961,6.6201,6.6201
662.962,6.6202,6.6202
663.962,6.6053,6.6053
664.961,6.6051,6.6051
665.961,6.5979,6.5979
666.962,6.5935,6.5935
667.962,6.59,6.59
668.962,6.5715,6.5715
669.961,6.5613,6.5613
670.961,6.5588,6.5588
671.962,6.5532,6.5532
672.962,6.5464,6.5464
673.961,6.5402,6.5402
674.961,6.5352,6.5352
675.962,6.5119,6.5119
676.962,6.5072,6.5072
677.961,6.4982,6.4982
678.961,6.4943,6.4943
679.961,6.4865,6.4865
680.962,6.4819,6.4819
681.961,6.4767,6.4767
682.961,6.4747,6.4747
683.966,6.4656,6.4656
684.961,6.4589,6.4589
685.962,6.4472,6.4472
686.961,6.4441,6.4441
687.962,6.4508,6.437371429
688.962,6.4887,6.430642857
689.962,6.4846,6.426542857
690.962,6.4737,6.415642857
691.961,6.4717,6.413642857
692.961,6.4588,6.400742857
693.961,6.4538,6.395742857
694.961,6.4518,6.393742857
695.962,6.4443,6.386242857
696.962,6.4311,6.373042857
697.961,6.4216,6.363542857
698.962,6.4147,6.356642857
699.961,6.4104,6.352342857
700.962,6.3898,6.331742857
701.962,6.3816,6.323542857
702.962,6.3743,6.316242857
703.961,6.3697,6.311642857
704.961,6.3612,6.303142857
705.962,6.3548,6.296742857
706.961,6.348,6.289942857
707.961,6.3434,6.285342857
708.962,6.3343,6.276242857
709.961,6.3229,6.264842857
710.962,6.3147,6.256642857
711.961,6.3065,6.248442857
712.962,6.3051,6.247042857
713.966,6.2967,6.238642857
714.962,6.2889,6.230842857
715.962,6.2789,6.220842857
