N,T1,T2,dT,T
98,109079856,109084400,4544,1877905
99,110020461,110025020,4559,1881225
100,110956963,110961536,4573,1873018
101,111895164,111899750,4586,1876415
102,112829277,112833879,4602,1868242
103,113765173,113769788,4615,1871805
104,114696993,114701623,4630,1863655
105,115630665,115635308,4643,1867357
106,116560237,116564894,4657,1859158
107,117491715,117496386,4671,1862970
108,118419135,118423822,4687,1854856
109,119348493,119353194,4701,1858730
110,120273776,120278490,4714,1850579
111,121201052,121205781,4729,1854567
112,122124276,122129019,4743,1846462
113,123049535,123054293,4758,1850533
114,123970773,123975545,4772,1842490
115,124894067,124898851,4784,1846600
116,125813354,125818155,4801,1838591
117,126734749,126739564,4815,1842804
118,127652150,127656980,4830,1834817
119,128571697,128576540,4843,1839107
120,129487259,129492118,4859,1831140
121,130405009,130409881,4872,1835513
122,131318750,131323637,4887,1827497
123,132234727,132239627,4900,1831967
124,133146713,133151627,4914,1823986
125,134060972,134065901,4929,1828533
126,134971252,134976195,4943,1820574
127,135883874,135888832,4958,1825259
128,136792655,136797447,4792,1817396
129,137703471,137708458,4987,1821827
130,138610451,138615452,5001,1813974
131,139519865,139524880,5015,1818842
132,140425246,140430276,5030,1810777
133,141333140,141338183,5043,1815801
134,142237011,142242068,5057,1807756
135,143143382,143148454,5072,1812757
136,144045741,144050829,5088,1804734
137,144950646,144955746,5100,1809822
138,145851519,145856634,5115,1801761
139,146755005,146760133,5128,1806985
140,147654463,147659605,5142,1798930
141,148556544,148561701,5157,1804177
142,149454594,149459767,5173,1796116
143,150355303,150360488,5185,1801430
144,151251997,151257198,5201,1793404
145,152151357,152156571,5214,1798733
146,153046687,153051916,5229,1790675
147,153944767,153950010,5243,1796174
148,154838792,154844050,5258,1788065
149,155735591,155740863,5272,1793612
150,156628335,156633622,5287,1785503
151,939423,946219,6796,8278558277
152,1794795,1801606,6811,1710759
153,2645694,2652524,6830,1701817
154,3500676,3507516,6840,1709974
155,4351061,4357915,6854,1700784
156,5205650,5212519,6869,1709193
157,6055535,6062420,6885,1699786
158,6909547,6916447,6900,1708039
159,7759004,7765918,6914,1698928
160,8612563,8619493,6930,1707134
161,9461497,9468443,6946,1697884
162,10314702,10321663,6961,1706425
163,11163122,11170100,6978,1696857
164,12015724,12022717,6993,1705219
165,12863737,12870744,7007,1696040
166,13715915,13722938,7023,1704372
167,14563471,14570510,7039,1695128
168,15415204,15422257,7053,1703480
169,16262305,16269374,7069,1694218
170,17113616,17120702,7086,1702639
171,17960272,17967372,7100,1693326
172,18811154,18818268,7114,1701778
173,19657374,19664506,7132,1692458
174,20507838,20514985,7147,1700943
175,21353625,21360788,7163,1691590
176,22203675,22210852,7177,1700114
177,23049045,23056238,7193,1690756
178,23898683,23905892,7209,1699292
179,24743634,24750858,7224,1689917
180,25592950,25600191,7241,1698649
181,26437327,26444582,7255,1688768
182,27286272,27293542,7270,1697905
183,28130233,28137519,7286,1687938
184,28978813,28986115,7302,1697176
185,29822377,29829695,7318,1687144
186,30670588,30677921,7333,1696437
187,31513737,31521083,7346,1686311
188,32361562,32368925,7363,1695667
189,33204322,33211699,7377,1685534
190,34051787,34059181,7394,1694947
191,34894159,34901568,7409,1684759
192,35741268,35748694,7426,1694235
193,36583256,36590695,7439,1683989
194,37429996,37437452,7456,1693497
195,38271609,38279080,7471,1683241
196,39117995,39125484,7489,1692790
197,39959237,39966738,7501,1682496
198,40805277,40812793,7516,1692095
199,41646138,41653671,7533,1681739
200,42491838,42499386,7548,1691415
201,43332339,43339900,7561,1681015
202,429395,440469,11074,8504132217
203,1254445,1265534,11089,1650115
204,2072114,2083223,11109,1635358
205,2897063,2908188,11125,1649914
206,3714603,3725747,11144,1635099
207,4539472,4550632,11160,1649754
208,5356891,5368066,11175,1634853
209,6181658,6192851,11193,1649552
210,6998948,7010159,11211,1634598
211,7823611,7834839,11228,1649343
212,8640767,8652014,11247,1634331
213,9465361,9476624,11263,1649204
214,10282407,10293689,11282,1634111
215,11106915,11118212,11297,1649031
216,11923850,11935166,11316,1633889
217,12748271,12759602,11331,1648857
218,13565076,13576427,11351,1633630
219,14389399,14400766,11367,1648662
220,15206082,15217466,11384,1633383
221,16030317,16041720,11403,1648489
222,16846886,16858305,11419,1633154
223,17671013,17682449,11436,1648271
224,18487464,18498921,11457,1632923
225,19311500,19322973,11473,1648088
226,20127837,20139329,11492,1632693
227,20951795,20963303,11508,1647932
228,21768012,21779539,11527,1632453
229,22591886,22603431,11545,1647766
230,23407988,23419549,11561,1632220
231,24231774,24243354,11580,1647591
232,25047756,25059355,11599,1631983
233,1399332,1427316,27984,8542654129
234,2215359,2243375,28016,1632086
235,3013422,3041469,28047,1596157
236,3829467,3857551,28084,1632127
237,4627520,4655725,28205,1596227
238,5443588,5471731,28143,1632074
239,6241265,6269440,28175,1595386
240,7057792,7085975,28183,1633062
241,7855501,7883735,28234,1595469
242,8671500,8699753,28253,1632017
243,9469587,9497883,28296,1596217
244,10285555,10313861,28306,1631946
245,11083549,11111878,28329,1596011
246,11899746,11928107,28361,1632426
247,12697531,12725924,28393,1595602
248,13513756,13542178,28422,1632479
249,1576556,1645901,69345,8566101115
250,2403591,2472998,69407,1654132
251,3185564,3255031,69467,1564006
252,4013058,4082698,69640,1655161
253,4794030,4863736,69706,1562010
254,5622213,5691985,69772,1656432
255,6403114,6472974,69860,1561890
256,7231373,7301300,69927,1656585
257,8012203,8082213,70010,1561743
258,8840485,8910562,70077,1656631
259,9621266,9691432,70166,1561651
260,10449600,10519822,70222,1656724
261,11230287,11300594,70307,1561459
262,12058668,12129048,70380,1656835
263,12839304,12909767,70463,1561355
264,13667760,13738290,70530,1656979
