N,T1,T2,dT,T,A
25,"29,7783913575487","29,7812308285422","0,00283947099347961","2,00058750565715","124,029538275935"
26,"30,7695578202786","30,7724081865268","0,00285036624817714","1,98234382071439","123,083168146491"
27,"31,7569486582075","31,7598065673243","0,00285790911681389","1,97478921872643","122,434319656694"
28,"32,7357699592685","32,7386379255435","0,00286796627499623","1,95765265928024","121,577139190462"
29,"33,7112497695235","33,7141269548601","0,00287718533666337","1,95096883957157","120,799273784906"
30,"34,6786754722674","34,6815635528588","0,0028880805913609","1,93486230074255","119,889564894606"
31,"35,6431795705594","35,6460760321159","0,00289646155651285","1,92901657754907","119,196763311525"
32,"36,6000804572655","36,6029869759802","0,00290651871469518","1,91381183057041","118,373299363167"
33,"37,5545558926566","37,5574724685295","0,00291657587287752","1,90896092794046","117,558339311666"
34,"38,5017264788213","38,5046522737558","0,00292579493454466","1,89435039139107","116,818663337021"
35,"39,4468043379876","39,4497385138873","0,00293417589969661","1,89016409929768","116,152271864871"
36,"40,3848949865066","40,387840057661","0,00294507115439414","1,87619219229286","115,294453732351"
37,"41,3211610989122","41,3241145510317","0,00295345211954609","1,87254060577616","114,641043578587"
38,"42,2507023248797","42,2536658341575","0,00296350927772842","1,85909250909335","113,864257264644"
39,"43,1787685009806","43,1817403912235","0,00297189024288037","1,85614073316683","113,222950416554"
40,"44,1003520005364","44,1033339479374","0,00298194740106271","1,8431770562698","112,460508474201"
41,"45,0207311553999","45,0237214837661","0,00299032836621465","1,8407666906921","111,831007843763"
42,"45,9348103387586","45,937810724283","0,00300038552439699","1,82816842387569","111,082559252208"
43,"46,8479248730284","46,850935315711","0,00301044268257933","1,82623912569772","110,341599279021"
44,"47,7549539885013","47,7579736502456","0,00301966174424647","1,81406745000754","109,668879443219"
45,"48,661222950435","48,6642526693374","0,0030297189024288","1,8125479810255","108,941995749231"
46,"49,5615741128748","49,5646138889355","0,00303977606061114","1,80071238203792","108,22231484009"
47,"50,4613687792286","50,4644177743509","0,00304899512227828","1,79959855176922","107,568853749183"
48,"51,3554048844265","51,358463936707","0,00305905228046062","1,78808226755393","106,862714385438"
49,"52,2490445699727","52,2521128413148","0,00306827134212776","1,78728859015404","106,221510400606"
50,"53,1370782279287","53,140154880236","0,00307665230727971","1,77607569687725","105,643592482503"
51,"54,0249149332037","54,0280016426692","0,00308670946546204","1,77568346770814","104,956295250046"
52,"54,907283058717","54,9103789872442","0,00309592852712918","1,76474547008834","104,332147830999"
53,"55,7895933555708","55,7926993412561","0,00310598568531152","1,76463065086575","103,657588298493"
54,"56,6665716823949","56,6696868871419","0,00311520474697866","1,7539658727099","103,044972596804"
55,"57,543657285573","57,5467817093817","0,0031244238086458","1,75418042541779","102,437771722863"
56,"58,4154938902764","58,4186275331467","0,00313364287031295","1,74368242846846","101,835922049602"
57,"59,287589466803","59,290732328735","0,00314286193198009","1,74420037211485","101,239360881778"
58,"60,1545391307263","60,157692887913","0,00315375718667762","1,73391022310129","100,541067864374"
59,"61,0218617475989","61,0250255619437","0,00316381434485995","1,7346552909033","99,9028823227052"
60,"61,8841507568012","61,8873237902077","0,0031730334065271","1,72458723746627","99,3232017813006"
61,"62,7469434620091","62,7501248763808","0,00318141437167904","1,72559379138102","98,8005865249983"
62,"63,6047587120133","63,6079485073501","0,00318979533683099","1,71563888097353","98,2820852601846"
63,"64,4631916391492","64,4663914916442","0,00319985249501333","1,71687591142996","97,665253612441"
64,"65,3167510350492","65,3199601066059","0,00320907155668047","1,70712801086173","97,1049116783498"
65,"66,1709926415126","66,1742117702275","0,0032191287148628","1,70849327008498","96,4991117840161"
66,"67,0204210596892","67,0236510836588","0,00323002396956033","1,69886773160797","95,8492038006867"
67,"67,8706590790996","67,8738974840343","0,00323840493471228","1,70048441978578","95,3537318786998"
68,"68,7161668817781","68,7194128295815","0,00324594780334903","1,69102314822575","94,9110845913392"
69,"69,5625572000872","69,5658148812417","0,00325768115456176","1,69279236996933","94,2286239467954"
70,"70,4042944065439","70,4075604686636","0,00326606211971371","1,68348279387854","93,7456487093333"
71,"71,2469945858965","71,2502707051744","0,00327611927789604","1,68541041586349","93,1709640941812"
72,"72,0851212725657","72,0884066109053","0,00328533833956318","1,67626259240014","92,6487994845898"
73,"72,9242603798253","72,9275540991301","0,00329371930471513","1,67828659548434","92,1779041884376"
74,"73,7588905278332","73,7621951423926","0,00330461455941266","1,66927119127039","91,5710883899782"
75,"74,5946194203725","74,5979332539935","0,0033138336210798","1,6714670041402","91,0622968641144"
76,"75,4258401917565","75,4291632444392","0,00332305268274695","1,66245076182973","90,5577340442618"
77,"76,2582711745085","76,2616026081564","0,00333143364789889","1,6648703464691","90,1026707740991"
78,"77,0862124742285","77,0895548031311","0,00334232890259642","1,65589349469485","89,5161985706367"
79,"77,9154419282925","77,9187934762567","0,00335154796426356","1,65846812718953","89,024413667808"
80,"78,7402420422736","78,7436028092995","0,00336076702593071","1,64960944702392","88,5366703192145"
81,"79,5663873011616","79,5697564491527","0,00336914799108265","1,65229889874118","88,0967372342269"
82,"80,3881400962135","80,3915184632662","0,00337836705274979","1,64351480916542","87,6165874482682"
83,"81,211331902982","81,2147203271929","0,00338842421093213","1,64639367069512","87,0972509534378"
84,"82,0301647697749","82,0335640892405","0,00339931946562966","1,63767662884058","86,5398299789145"
85,"82,8504902864614","82,8538979868922","0,00340770043078161","1,64065941433816","86,1146779321713"
86,"83,6665138537354","83,6699316113244","0,00341775758896395","1,6320571917062","85,6086182366848"
87,"84,4841004710102","84,4875257714678","0,0034253004576007","1,63518077741833","85,231995174205"
88,"85,2973566435911","85,3007945154964","0,00343787190532862","1,6265249166094","84,6097902082941"
89,"86,1122370472184","86,1156807857993","0,00344373858093498","1,62976667393017","84,3217570889063"
90,"86,9228406443286","86,9262952781642","0,00345463383563251","1,62121808947518","83,7907263918699"
91,"87,7351338440135","87,7385976969108","0,00346385289729965","1,62459561843142","83,3453010647835"
92,"88,543159456243","88,5466316901054","0,0034722338624516","1,61605960542416","82,9434438821776"
93,"89,3529174139694","89,3563988668935","0,00348145292411874","1,61952513451449","82,5047487105143"
94,"90,1584538795488","90,1619453896311","0,00349151008230108","1,61108298831693","82,0301298558225"
95,"90,9657687859334","90,9692695150774","0,00350072914396822","1,61463903183091","81,5986511402404"
96,"91,7688739335222","91,7723855579209","0,00351162439866575","1,60622119043229","81,0930965533348"
97,"92,5738346267956","92,5773546321594","0,0035200053638177","1,60992976751203","80,7073986621315"
98,"93,3746132184582","93,3781424428837","0,00352922442548484","1,6015664023869","80,2863006562913"
99,"94,1772817177626","94,1808201612498","0,00353844348715198","1,60534621767043","79,8684897474845"
100,"94,9757924202551","94,9793400828039","0,00354766254881912","1,59703062404667","79,453931812351"
101,"95,7761997351615","95,779758292965","0,00355855780351665","1,60082552506747","78,9681475946218"
102,"96,5724567961246","96,5760237348933","0,0035669387686686","1,59252250289143","78,5974926375502"
103,"97,3707051744079","97,3742821703347","0,00357699592685094","1,59650681372467","78,1561411880132"
104,"98,1648183844852","98,1684045994737","0,00358621498851808","1,58823563921621","77,7548266202858"
105,"98,9609799024456","98,9645761745923","0,00359627214670041","1,592333093079","77,3205440533076"
106,"99,7530012236209","99,7566050386363","0,00360381501533717","1,58405018521933","76,9972153812872"
107,"100,547116109891","100,550731658258","0,00361554836654989","1,58824150589182","76,4982761648257"
108,"101,337146951843","101,340770043078","0,00362309123518664","1,58006922677216","76,1800861061468"
109,"102,129288958917","102,132922945406","0,00363398648988418","1,58429490940177","75,723971474551"
110,"102,917328483548","102,9209716891","0,00364320555155132","1,57608826832498","75,3412202498369"
111,"103,707527782899","103,711181045609","0,00365326270973365","1,58040865586081","74,9269737755844"
112,"104,493637171257","104,497297976835","0,00366080557837041","1,57222631958296","74,6185268695743"
113,"105,281954943931","105,285626644764","0,00367170083306794","1,5766464406041","74,176343980025"
114,"106,06619286277","106,069872944568","0,00368008179821988","1,56848421864262","73,8388724249685"
115,"106,852675204077","106,856364504936","0,00368930085988702","1,57297390167452","73,4703068759172"
116,"107,635093615381","107,638792135302","0,00369851992155417","1,56484604167016","73,1044939890582"
117,"108,419782430145","108,423491007224","0,0037085770797365","1,569387686686","72,7085326643046"
118,"109,200417372065","109,204136006302","0,00371863423791884","1,56127994099801","72,3157796611556"
119,"109,983360431787","109,987088285087","0,00372785329958598","1,56589533850718","71,9585449648375"
120,"110,762263866307","110,766000938668","0,00373707236125312","1,55781608810071","71,6039508152849"
121,"111,5435064282","111,547251881527","0,00374545332640507","1,56249350475201","71,2838620303735"
122,"112,320713555373","112,324469903954","0,0037563485811026","1,55442514960023","70,8709453511403"
123,"113,100304229035","113,104069796678","0,00376556764276974","1,55919056638563","70,5243501613336"
124,"113,875857791783","113,879632578488","0,00377478670443688","1,55111634455824","70,1802913100335"
125,"114,653831777267","114,657615783034","0,00378400576610402","1,55595719003","69,8387441100111"
126,"115,427772842321","115,431566905245","0,00379406292428636","1,54789218726429","69,4689830435447"
127,"116,204182939707","116,207986221693","0,0038032819859535","1,5528294138353","69,132609018676"
128,"116,976554249987","116,980367589132","0,00381333914413584","1,54475267771837","68,7684343629996"
129,"117,7514188974","117,755238941316","0,0038200439162574","1,54973599959771","68,5272475803553"
130,"118,522283310146","118,526115087413","0,00383177726747012","1,54174055884276","68,1082131985252"
131,"119,295610050453","119,299451046783","0,00384099632913726","1,54666269967649","67,7816623578614"
132,"120,064990194271","120,068842085855","0,00385189158383479","1,53877118288942","67,3987574808684"
133,"120,836845237098","120,840705509647","0,00386027254898674","1,54371846661862","67,1064188208889"
134,"121,604775473944","121,608646641747","0,00387116780368427","1,53587136894685","66,7292134519163"
135,"122,375185638378","122,37906434905","0,00387871067232102","1,54082787173771","66,4699312702583"
136,"123,141676863508","123,145566469435","0,00388960592701856","1,53299334551367","66,0980722443288"
137,"123,910675673411","123,914573660303","0,0038979868921705","1,53800600077105","65,8141461452978"
138,"124,675759734491","124,679667778541","0,00390804405035284","1,53017817931913","65,4758431056098"
139,"125,443389932785","125,4473063578","0,00391642501550479","1,53526877755242","65,1959125021655"
140,"126,20710202987","126,21102935014","0,00392732027020232","1,5274350894249","64,8346785195192"
141,"126,973382892774","126,977319432106","0,00393653933186946","1,53257094487001","64,5313588019913"
142,"127,73574062589","127,739686384284","0,0039457583935366","1,52472468529476","64,2301626725493"
143,"128,500698134397","128,504653111852","0,00395497745520374","1,52992423607503","63,9310703539334"
144,"129,261750113143","129,26571430966","0,00396419651687088","1,52211317655341","63,6340622985845"
145,"130,025420305402","130,029394559077","0,00397425367505322","1,52735044167686","63,3124079072285"
146,"130,78517323455","130,789156707286","0,00398347273672036","1,51951507735631","63,0196956851285"
147,"131,54758544394","131,551578973835","0,0039935298949027","1,52483447593825","62,7026824178135"
148,"132,30607033306","132,310073920113","0,00400358705308503","1,51697983539784","62,3880551955722"
149,"133,067254731055","133,07126753717","0,00401280611475218","1,52237801505221","62,1017225778174"
150,"133,824510970683","133,82853299586","0,00402202517641932","1,51452169831878","61,8173566495868"
151,"1,03672455119932","1,04098040530347","0,00425585410415864","6933,61890829548","55,2111174538949"
152,"1,78422450929449","1,78849042055683","0,00426591126234097","1,49500997334853","54,9510968538797"
153,"2,52769908982718","2,53197422015119","0,00427513032400811","1,48695838012706","54,71435491217"
154,"3,27433916089777","3,27862267218693","0,00428351128916006","1,49328852310632","54,5004600624883"
155,"4,0168834542986","4,02117618464942","0,0042927303508272","1,48509780586332","54,2666212055674"
156,"4,76262424780838","4,76692703531739","0,00430278750900954","1,49149164417774","54,0132365499055"
157,"5,50425753029719","5,50856953686787","0,00431200657067668","1,48327578403929","53,782523056814"
158,"6,24912670343117","6,25344960525654","0,00432290182537421","1,48974924152265","53,5117624064441"
159,"6,98987244171039","6,99420372450091","0,00433128279052616","1,48149985752359","53,304873899515"
160,"7,73386915637205","7,73820882012773","0,0043396637556781","1,48800181028847","53,0991828935475"
161,"8,47372483615213","8,47807455706599","0,00434972091386044","1,47972141671835","52,8539214065882"
162,"9,21688261620208","9,22124239427413","0,00435977807204278","1,48632561725808","52,6103552725189"
163,"9,95587338037849","9,96024321560871","0,00436983523022511","1,47799158551099","52,3684689019222"
164,"10,6982006067819","10,7025796610738","0,00437905429189226","1,48466367186845","52,1482021895103"
165,"11,4363616554082","11,4407490906653","0,0043874352570442","1,47633047821787","51,9491634314259"
166,"12,1778667091302","12,182265039642","0,00439833051174173","1,48302100269867","51,6921121083293"
167,"12,9151930136275","12,9196014012974","0,00440838766992407","1,47466266615263","51,4565236016134"
168,"13,6558842756332","13,6603018823648","0,00441760673159121","1,48139174307313","51,2419794366004"
169,"14,3923817026769","14,3968085284701","0,00442682579325835","1,47300407314906","51,0287742686936"
170,"15,1322709063176","15,1367069511725","0,00443604485492549","1,47978762634305","50,8168969785638"
171,"15,8679746559614","15,872419919878","0,00444526391659264","1,47141671834929","50,6063365620642"
172,"16,6070777250708","16,6115330461456","0,00445532107477497","1,47821619537706","50,3781233846344"
173,"17,3419894735078","17,3464548517407","0,00446537823295731","1,46983355403208","50,1514504510141"
174,"18,0803332271744","18,0848086625656","0,00447543539113964","1,47669756449153","49,9263039318829"
175,"18,8144655458523","18,8189493622086","0,00448381635629159","1,46827301832079","49,7398379736221"
176,"19,5520566888483","19,5565514004593","0,00449471161098912","1,47519318124675","49,4989898708942"
177,"20,2854280158903","20,289931946563","0,00450393067265626","1,46675187314571","49,2965590433976"
178,"21,0222707386983","21,0267830503361","0,00451231163780821","1,47369382658107","49,1136066717963"
179,"21,7549020265174","21,7594243953134","0,00452236879599055","1,46527263279639","48,8954050607731"
180,"22,4910214720327","22,4955530598904","0,00453158785765769","1,47224811009236","48,69666181859"
181,"23,2229219396906","23,2274627466099","0,00454080691932483","1,46381015437738","48,4991278541743"
182,"1,31671583499556","1,32044452639166","0,00372869139610118","7155,38102298061","71,9262004119412"
183,"2,09839839755946","2,10213630801723","0,00373791045776832","1,56337434418948","71,5718450200085"
184,"2,87611592550998","2,87986305502942","0,00374712951943546","1,5554442749627","71,2201018707452"
185,"3,65613821887729","3,65989372936187","0,00375551048458741","1,56005296769976","70,9025806349116"
186,"4,43211166797969","4,43587807371897","0,00376640573928494","1,55195779345949","70,4929676496913"
187,"5,21055582560888","5,21433061231331","0,00377478670443688","1,55689669622354","70,1802913100335"
188,"5,98488995792756","5,98867563988669","0,00378568195913441","1,54867915989205","69,7769125556179"
189,"6,76175597981864","6,76554836654989","0,00379238673125597","1,55373874855428","69,5304056603889"
190,"7,53452035736435","7,53832363935031","0,0038032819859535","1,54553965034613","69,132609018676"
191,"8,30985014834308","8,3136626493907","0,00381250104762064","1,55066880101913","68,7986722143934"
192,"9,08106320923918","9,08488492934846","0,00382172010928779","1,54243534085385","68,4671491420437"
193,"9,85487939791146","9,85871033708242","0,00383093917095493","1,54764159640624","68,138016595258"
194,"10,6245805326941","10,6284215290233","0,00384099632913726","1,53941232672355","67,7816623578614"
195,"11,3969225095962","11,400772724987","0,00385021539080441","1,54469317286579","67,4574544147133"
196,"12,1651511088017","12,1690122194472","0,00386111064550194","1,53646809366567","67,0772896106749"
197,"12,9360591025663","12,9399294322734","0,00387032970716908","1,54182520659079","66,7581161969817"
198,"13,7028587472133","13,7067391340787","0,00388038686535141","1,53360934645234","66,4125182465748"
199,"14,4723570626393","14,4762458304698","0,00388876783050336","1,53900501181716","66,1265658628121"
200,"15,2377445146583","15,241643339647","0,0038988249886857","1,53078496119613","65,7858541967175"
201,"16,0058641613168","16,0097705291741","0,00390636785732245","1,53624683618566","65,5320455434568"
202,"16,7698754588578","16,7737927219699","0,00391726311201998","1,52803349033675","65,1680182196728"
203,"17,5366558272851","17,5405814713622","0,00392564407717193","1,53356911781961","64,8900572729374"
204,"18,2993261704018","18,3032601954441","0,00393402504232387","1,52534906719858","64,6138709198972"
205,"19,0648074892305","19,068753247624","0,0039457583935366","1,53097437100857","64,2301626725493"
206,"19,8261502874671","19,8301069411153","0,00395665364823413","1,52269649172799","63,8769144306082"
207,"20,5903392614694","20,5943034579862","0,00396419651687088","1,52838549087313","63,6340622985845"
