date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 15:35:36	0 Hz	0 W	3,2E0 mbar	3,1E0 mbar
2020-02-27, 15:35:38	0 Hz	0 W	3,2E0 mbar	3,1E0 mbar
2020-02-27, 15:35:40	0 Hz	0 W	3,2E0 mbar	3,1E0 mbar
2020-02-27, 15:35:42	0 Hz	0 W	3,2E0 mbar	3,1E0 mbar
2020-02-27, 15:35:44	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:46	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:48	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:50	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:52	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:54	0 Hz	0 W	--- no data ---	--- no data ---
2020-02-27, 15:35:56	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2020-02-27, 15:35:58	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:36:00	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:36:02	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:36:04	15 Hz	27 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:36:06	45 Hz	30 W	3,2E0 mbar	3E0 mbar
2020-02-27, 15:36:08	73 Hz	32 W	3,1E0 mbar	2,9E0 mbar
2020-02-27, 15:36:10	103 Hz	35 W	3E0 mbar	2,8E0 mbar
2020-02-27, 15:36:12	132 Hz	37 W	2,8E0 mbar	2,6E0 mbar
2020-02-27, 15:36:14	160 Hz	40 W	2,5E0 mbar	2,3E0 mbar
2020-02-27, 15:36:16	189 Hz	42 W	2,1E0 mbar	1,9E0 mbar
2020-02-27, 15:36:18	221 Hz	45 W	1,9E0 mbar	1,8E0 mbar
2020-02-27, 15:36:20	245 Hz	47 W	1,6E0 mbar	1,5E0 mbar
2020-02-27, 15:36:22	277 Hz	50 W	1,2E0 mbar	1,2E0 mbar
2020-02-27, 15:36:24	308 Hz	52 W	9,8E-1 mbar	8,5E-1 mbar
2020-02-27, 15:36:26	343 Hz	55 W	6,5E-1 mbar	6E-1 mbar
2020-02-27, 15:36:28	365 Hz	57 W	3,2E-1 mbar	2,8E-1 mbar
2020-02-27, 15:36:30	400 Hz	60 W	5,7E-2 mbar	4,4E-2 mbar
2020-02-27, 15:36:32	433 Hz	62 W	1,1E-2 mbar	1,2E-2 mbar
2020-02-27, 15:36:34	466 Hz	64 W	4,7E-3 mbar	4,1E-3 mbar
2020-02-27, 15:36:36	492 Hz	67 W	2,6E-3 mbar	2,1E-3 mbar
2020-02-27, 15:36:38	526 Hz	70 W	1,9E-3 mbar	1,3E-3 mbar
2020-02-27, 15:36:40	560 Hz	73 W	1,4E-3 mbar	1E-3 mbar
2020-02-27, 15:36:42	594 Hz	76 W	1,1E-3 mbar	9E-4 mbar
2020-02-27, 15:36:44	627 Hz	78 W	1E-3 mbar	7,5E-4 mbar
2020-02-27, 15:36:46	657 Hz	81 W	1E-3 mbar	6,5E-4 mbar
2020-02-27, 15:36:48	691 Hz	84 W	8,3E-4 mbar	6E-4 mbar
2020-02-27, 15:36:50	724 Hz	86 W	6,3E-4 mbar	5,5E-4 mbar
2020-02-27, 15:36:52	749 Hz	88 W	5,2E-4 mbar	5E-4 mbar
2020-02-27, 15:36:54	781 Hz	88 W	4,4E-4 mbar	4E-4 mbar
2020-02-27, 15:36:56	816 Hz	88 W	3,6E-4 mbar	4E-4 mbar
2020-02-27, 15:36:58	840 Hz	88 W	3E-4 mbar	3,5E-4 mbar
2020-02-27, 15:37:00	874 Hz	87 W	2,4E-4 mbar	3,5E-4 mbar
2020-02-27, 15:37:02	903 Hz	88 W	1,9E-4 mbar	3E-4 mbar
2020-02-27, 15:37:04	925 Hz	88 W	1,8E-4 mbar	3E-4 mbar
2020-02-27, 15:37:06	953 Hz	88 W	1,7E-4 mbar	3E-4 mbar
2020-02-27, 15:37:08	981 Hz	87 W	1,5E-4 mbar	3E-4 mbar
2020-02-27, 15:37:10	1012 Hz	88 W	1,3E-4 mbar	2,5E-4 mbar
2020-02-27, 15:37:12	1038 Hz	88 W	1,2E-4 mbar	2,5E-4 mbar
2020-02-27, 15:37:14	1058 Hz	88 W	1E-4 mbar	2,5E-4 mbar
2020-02-27, 15:37:16	1087 Hz	88 W	9,7E-5 mbar	2E-4 mbar
2020-02-27, 15:37:18	1112 Hz	88 W	9,2E-5 mbar	2E-4 mbar
2020-02-27, 15:37:20	1127 Hz	88 W	8,7E-5 mbar	2,5E-4 mbar
2020-02-27, 15:37:22	1155 Hz	88 W	8,3E-5 mbar	2E-4 mbar
2020-02-27, 15:37:24	1176 Hz	88 W	7,7E-5 mbar	2E-4 mbar
2020-02-27, 15:37:26	1202 Hz	88 W	7,2E-5 mbar	2E-4 mbar
2020-02-27, 15:37:28	1219 Hz	88 W	6,8E-5 mbar	2E-4 mbar
2020-02-27, 15:37:30	1245 Hz	88 W	6,6E-5 mbar	2E-4 mbar
2020-02-27, 15:37:32	1267 Hz	87 W	6,4E-5 mbar	2E-4 mbar
2020-02-27, 15:37:34	1284 Hz	88 W	6,2E-5 mbar	2E-4 mbar
2020-02-27, 15:37:36	1308 Hz	88 W	6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:38	1329 Hz	88 W	5,8E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:40	1350 Hz	88 W	5,6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:42	1366 Hz	88 W	5,4E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:44	1389 Hz	87 W	5,2E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:46	1409 Hz	87 W	5,1E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:48	1424 Hz	87 W	4,9E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:50	1444 Hz	88 W	4,8E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:52	1463 Hz	87 W	4,6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:54	1480 Hz	56 W	4,4E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:56	1491 Hz	55 W	4,3E-5 mbar	1,5E-4 mbar
2020-02-27, 15:37:58	1503 Hz	36 W	4,1E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:00	1503 Hz	3 W	4E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:02	1500 Hz	4 W	3,9E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:04	1499 Hz	16 W	3,9E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:06	1500 Hz	16 W	3,8E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:08	1500 Hz	13 W	3,7E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:10	1500 Hz	12 W	3,7E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:12	1500 Hz	13 W	3,6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:14	1500 Hz	14 W	3,6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:16	1500 Hz	13 W	3,6E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:18	1500 Hz	14 W	3,5E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:20	1500 Hz	14 W	3,5E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:22	1500 Hz	14 W	3,4E-5 mbar	1E-4 mbar
2020-02-27, 15:38:24	1500 Hz	14 W	3,4E-5 mbar	1E-4 mbar
2020-02-27, 15:38:26	1500 Hz	13 W	3,3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:28	1500 Hz	13 W	3,3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:30	1500 Hz	14 W	3,3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:32	1500 Hz	14 W	3,2E-5 mbar	1E-4 mbar
2020-02-27, 15:38:34	1500 Hz	14 W	3,2E-5 mbar	1E-4 mbar
2020-02-27, 15:38:36	1500 Hz	14 W	3,1E-5 mbar	1E-4 mbar
2020-02-27, 15:38:38	1500 Hz	13 W	3,1E-5 mbar	1E-4 mbar
2020-02-27, 15:38:40	1500 Hz	13 W	3,1E-5 mbar	1E-4 mbar
2020-02-27, 15:38:42	1500 Hz	14 W	3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:44	1500 Hz	14 W	3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:46	1500 Hz	14 W	3E-5 mbar	1E-4 mbar
2020-02-27, 15:38:48	1500 Hz	13 W	2,9E-5 mbar	1E-4 mbar
2020-02-27, 15:38:50	1500 Hz	13 W	2,9E-5 mbar	1E-4 mbar
2020-02-27, 15:38:52	1500 Hz	13 W	2,9E-5 mbar	1,5E-4 mbar
2020-02-27, 15:38:54	1500 Hz	13 W	2,8E-5 mbar	1E-4 mbar
2020-02-27, 15:38:56	1500 Hz	14 W	2,8E-5 mbar	1E-4 mbar
2020-02-27, 15:38:58	1500 Hz	14 W	2,8E-5 mbar	1E-4 mbar
2020-02-27, 15:39:00	1500 Hz	13 W	2,7E-5 mbar	1E-4 mbar
2020-02-27, 15:39:02	1500 Hz	14 W	2,7E-5 mbar	1E-4 mbar
2020-02-27, 15:39:04	1500 Hz	13 W	2,7E-5 mbar	1E-4 mbar
2020-02-27, 15:39:06	1500 Hz	13 W	2,7E-5 mbar	1E-4 mbar
