kHz;V
2.19941139;0.00182874
2.20537186;0.00107751
2.21133232;0.00046867
2.21729279;0.0002655
2.22325325;0.00048742
2.22921371;0.00048034
2.23517418;0.0003416
2.24113464;0.00008461
2.24709511;0.00025124
2.25305557;0.00132975
2.25901604;0.00251376
2.2649765;0.00299927
2.27093697;0.00333396
2.27689743;0.00296426
2.28285789;0.00160846
2.28881836;0.0007138
2.29477882;0.00485549
2.30073929;0.00775771
2.30669975;0.00838184
2.31266022;0.00837685
2.31862068;0.00585871
2.32458115;0.00213703
2.33054161;0.00055302
2.33650208;0.00022682
2.34246254;0.00018378
2.348423;0.0000286
2.35438347;0.00017266
2.36034393;0.00027935
2.3663044;0.00078433
2.37226486;0.00223716
2.37822533;0.00398615
2.38418579;0.00432069
2.39014626;0.00398854
2.39610672;0.00300151
2.40206718;0.0007983
2.40802765;0.00097252
2.41398811;0.00202878
2.41994858;0.00265143
2.42590904;0.00243495
2.43186951;0.00204408
2.43782997;0.0013687
2.44379044;0.00042764
2.4497509;0.0001669
2.45571136;0.00014347
2.46167183;0.00032258
2.46763229;0.00039365
2.47359276;0.00030493
2.47955322;0.00030035
2.48551369;0.00096856
2.49147415;0.0015088
2.49743462;0.00213091
2.50339508;0.00214532
2.50935555;0.00160981
2.51531601;0.00089734
2.52127647;0.00033533
2.52723694;0.00134339
2.5331974;0.00177897
2.53915787;0.00199494
2.54511833;0.00157302
2.5510788;0.00091937
2.55703926;0.00059331
2.56299973;0.00045422
2.56896019;0.00042267
2.57492065;0.00052208
2.58088112;0.00067662
2.58684158;0.00061672
2.59280205;0.00023391
2.59876251;0.00150014
2.60472298;0.00353543
2.61068344;0.00432849
2.61664391;0.00467412
2.62260437;0.0042175
2.62856483;0.00226498
2.6345253;0.00098264
2.64048576;0.00716089
2.64644623;0.0123757
2.65240669;0.01345435
2.65836716;0.01346765
2.66432762;0.01004527
2.67028809;0.00368904
2.67624855;0.00015075
2.68220901;0.00195636
2.68816948;0.00283862
2.69412994;0.00282185
2.70009041;0.0025321
2.70605087;0.00124661
2.71201134;0.00044227
2.7179718;0.00199028
2.72393227;0.00359245
2.72989273;0.00402021
2.7358532;0.00363719
2.74181366;0.00288569
2.74777412;0.00105715
2.75373459;0.00057975
2.75969505;0.00132991
2.76565552;0.00172501
2.77161598;0.00154995
2.77757645;0.00124438
2.78353691;0.00095402
2.78949738;0.00053022
2.79545784;0.00041113
2.8014183;0.00077621
2.80737877;0.00107288
2.81333923;0.00101573
2.8192997;0.00074328
2.82526016;0.00004868
2.83122063;0.00105736
2.83718109;0.00167593
2.84314156;0.00225511
2.84910202;0.0022869
2.85506248;0.0016693
2.86102295;0.0009291
2.86698341;0.00011307
2.87294388;0.00105195
2.87890434;0.00137486
2.88486481;0.00154438
2.89082527;0.0012075
2.89678574;0.0006511
2.9027462;0.00055958
2.90870667;0.00099106
2.91466713;0.00123327
2.92062759;0.00149129
2.92658806;0.0016421
2.93254852;0.00140872
2.93850899;0.00057103
2.94446945;0.00152496
2.95042992;0.00467398
2.95639038;0.00595612
2.96235085;0.00651292
2.96831131;0.00593398
2.97427177;0.00498087
2.98023224;0.03063479
2.9861927;0.1350751
2.99215317;0.2474432
2.99811363;0.2737729
3.0040741;0.2718284
3.01003456;0.2175942
3.01599503;0.0911804
3.02195549;0.01382556
3.02791595;0.00271549
3.03387642;0.0035233
3.03983688;0.00368437
3.04579735;0.00318332
3.05175781;0.00191939
3.05771828;0.00024755
3.06367874;0.00165411
3.06963921;0.00306256
3.07559967;0.00345022
3.08156013;0.00311231
3.0875206;0.00247719
3.09348106;0.00117745
3.09944153;0.00031842
3.10540199;0.00079441
3.11136246;0.00101758
3.11732292;0.00085642
3.12328339;0.00064298
3.12924385;0.00053829
3.13520432;0.00056847
3.14116478;0.00066439
3.14712524;0.00114844
3.15308571;0.00157472
3.15904617;0.00151704
3.16500664;0.00112811
3.1709671;0.00030832
3.17692757;0.00098773
3.18288803;0.00176367
3.1888485;0.00233589
3.19480896;0.00244394
3.20076942;0.00180411
3.20672989;0.00104338
3.21269035;0.00028049
3.21865082;0.0005956
3.22461128;0.00083381
3.23057175;0.00089065
3.23653221;0.00066867
3.24249268;0.00030085
3.24845314;0.00046163
3.2544136;0.00149934
3.26037407;0.00234771
3.26633453;0.00271504
3.272295;0.00296808
3.27825546;0.00244329
3.28421593;0.00109392
3.29017639;0.00170785
3.29613686;0.00618471
3.30209732;0.00856005
3.30805779;0.00905191
3.31401825;0.00867331
3.31997871;0.00538408
3.32593918;0.00196183
3.33189964;0.00167836
3.33786011;0.00259596
3.34382057;0.00283817
3.34978104;0.00273965
