date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-23, 14:37:42	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-23, 14:37:44	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-23, 14:37:46	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:48	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:50	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:52	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:54	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:56	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:37:58	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:38:00	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-23, 14:38:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-23, 14:38:26	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:28	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:30	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:32	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:34	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:36	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:38	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:40	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:42	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:44	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:46	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:48	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:50	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:52	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:54	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:56	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:38:58	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-23, 14:39:00	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
