date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2019-03-25, 15:01:22	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2019-03-25, 15:01:24	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:01:26	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:01:28	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:01:30	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:01:32	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2019-03-25, 15:01:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:01:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:01:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:01:40	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2019-03-25, 15:01:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:50	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:52	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:54	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:01:56	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2019-03-25, 15:01:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:00	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:02	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:04	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:06	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:08	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:10	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:12	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:14	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:16	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:18	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:20	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:22	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:24	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:26	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:28	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:30	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:32	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:34	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:36	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:38	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:40	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:42	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:02:44	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:02:46	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2019-03-25, 15:02:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:02:50	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:02:52	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:02:54	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2019-03-25, 15:02:56	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:02:58	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:03:00	0 Hz	0 W	3,8E0 mbar	3,7E0 mbar
2019-03-25, 15:03:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:03:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:03:06	0 Hz	0 W	3,9E0 mbar	3,8E0 mbar
2019-03-25, 15:03:08	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2019-03-25, 15:03:10	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2019-03-25, 15:03:12	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2019-03-25, 15:03:14	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2019-03-25, 15:03:16	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2019-03-25, 15:03:18	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2019-03-25, 15:03:20	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2019-03-25, 15:03:22	0 Hz	0 W	4,4E0 mbar	4E0 mbar
2019-03-25, 15:03:24	0 Hz	0 W	4,4E0 mbar	4E0 mbar
2019-03-25, 15:03:26	0 Hz	0 W	4,5E0 mbar	4,1E0 mbar
2019-03-25, 15:03:28	0 Hz	0 W	4,5E0 mbar	4,1E0 mbar
2019-03-25, 15:03:30	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2019-03-25, 15:03:32	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2019-03-25, 15:03:34	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2019-03-25, 15:03:36	0 Hz	0 W	4,7E0 mbar	4,3E0 mbar
2019-03-25, 15:03:38	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2019-03-25, 15:03:40	0 Hz	0 W	4,4E0 mbar	4E0 mbar
2019-03-25, 15:03:42	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2019-03-25, 15:03:44	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2019-03-25, 15:03:46	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2019-03-25, 15:03:48	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2019-03-25, 15:03:50	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2019-03-25, 15:03:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:03:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:03:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:03:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2019-03-25, 15:04:00	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:04:02	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:04:04	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:04:06	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:04:08	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2019-03-25, 15:04:10	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:12	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:14	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:16	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:18	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:20	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2019-03-25, 15:04:22	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2019-03-25, 15:04:24	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:26	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:28	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:30	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:32	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:34	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:36	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:38	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2019-03-25, 15:04:40	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:42	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:44	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:46	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:48	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:50	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:52	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:54	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:56	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:04:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:05:00	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:05:02	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:05:04	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:05:06	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2019-03-25, 15:05:08	0 Hz	0 W	3,5E0 mbar	3,2E0 mbar
2019-03-25, 15:05:10	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:12	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:14	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:16	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:18	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:20	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:22	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:24	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:26	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:28	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:30	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:32	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:34	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:36	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:38	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:40	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:42	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:44	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:46	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:48	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:50	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:52	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:54	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:56	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:05:58	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:00	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:02	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:04	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:06	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:08	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:10	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:12	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:14	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:16	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:18	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:20	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:22	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:24	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:26	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:28	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2019-03-25, 15:06:30	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:32	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:34	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:36	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:38	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:40	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:42	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:44	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:46	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:48	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:50	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:52	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:54	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:56	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:06:58	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:07:00	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:07:02	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:07:04	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:07:06	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
2019-03-25, 15:07:08	0 Hz	0 W	3,4E0 mbar	3,1E0 mbar
