Время,A * B
(mс),(?)

-0.88151218,-0.05599745
-0.88119218,-0.08114550
-0.88087218,-0.10629360
-0.88055218,-0.12305890
-0.88023218,-0.13982430
-0.87991218,-0.17335500
-0.87959218,-0.19012040
-0.87927218,-0.20688580
-0.87895218,-0.23203380
-0.87863218,-0.24879920
-0.87831218,-0.27397540
-0.87799218,-0.28235810
-0.87767218,-0.30750620
-0.87735218,-0.33067050
-0.87703218,-0.34776670
-0.87671218,-0.35631480
-0.87639218,-0.37341100
-0.87607218,-0.39050720
-0.87575218,-0.40677760
-0.87543218,-0.40760340
-0.87511218,-0.41615150
-0.87479218,-0.43324770
-0.87447218,-0.45034520
-0.87415218,-0.45034520
-0.87383218,-0.45905880
-0.87351218,-0.45905880
-0.87319218,-0.46777230
-0.87287218,-0.46777230
-0.87255218,-0.47648580
-0.87223218,-0.46777230
-0.87191218,-0.46777230
-0.87159218,-0.46777230
-0.87127218,-0.46777230
-0.87095218,-0.46777360
-0.87063218,-0.45889470
-0.87031218,-0.45889470
-0.86999218,-0.45001570
-0.86967218,-0.44113680
-0.86935218,-0.43225780
-0.86903218,-0.42337890
-0.86871218,-0.40562100
-0.86839218,-0.39674210
-0.86807218,-0.37898420
-0.86775218,-0.36122640
-0.86743218,-0.35234740
-0.86711218,-0.33458950
-0.86679218,-0.31683160
-0.86647218,-0.29907380
-0.86615218,-0.27751260
-0.86583218,-0.25939340
-0.86551218,-0.22801240
-0.86519218,-0.21417160
-0.86487218,-0.18703850
-0.86455218,-0.16894980
-0.86423218,-0.14181670
-0.86391218,-0.12372800
-0.86359218,-0.09482827
-0.86327218,-0.07850624
-0.86295218,-0.05137317
-0.86263218,-0.02424010
-0.86231218,0.00289298
-0.86199218,0.03002605
-0.86167218,0.04811476
-0.86135218,0.07524784
-0.86103218,0.10238090
-0.86071218,0.13188280
-0.86039218,0.15030230
-0.86007218,0.17793160
-0.85975218,0.19635120
-0.85943218,0.22398050
-0.85911218,0.24240010
-0.85879218,0.26550420
-0.85847218,0.28844900
-0.85815218,0.31241180
-0.85783218,0.33116220
-0.85751218,0.34991260
-0.85719218,0.36866300
-0.85687218,0.38741340
-0.85655218,0.40616370
-0.85623218,0.41553890
-0.85591218,0.43428930
-0.85559218,0.44366450
-0.85527218,0.46241490
-0.85495218,0.47179010
-0.85463218,0.48965510
-0.85431218,0.49919570
-0.85399218,0.49054050
-0.85367218,0.50873630
-0.85335218,0.51827690
-0.85303218,0.51827690
-0.85271218,0.51827690
-0.85239218,0.52781750
-0.85207218,0.51827690
-0.85175218,0.51827690
-0.85143218,0.51827690
-0.85111218,0.50873630
-0.85079218,0.50873630
-0.85047218,0.49919570
-0.85015218,0.48965510
-0.84983218,0.49814490
-0.84951218,0.47873290
-0.84919218,0.46902680
-0.84887218,0.45932080
-0.84855218,0.43990870
-0.84823218,0.43020270
-0.84791218,0.41079060
-0.84759218,0.39137860
-0.84727218,0.38167250
-0.84695218,0.35255440
-0.84663218,0.33314240
-0.84631218,0.31369760
-0.84599218,0.29428560
-0.84567218,0.26516750
-0.84535218,0.24575540
-0.84503218,0.22634330
-0.84471218,0.20058650
-0.84439218,0.16810720
-0.84407218,0.15122930
-0.84375218,0.11957700
-0.84343218,0.09200059
-0.84311218,0.07225769
-0.84279218,0.04264334
-0.84247218,0.01324731
-0.84215218,-0.01658537
-0.84183218,-0.04619972
-0.84151218,-0.07708450
-0.84119218,-0.09715823
-0.84087218,-0.12726880
-0.84055218,-0.14734260
-0.84023218,-0.16741630
-0.83991218,-0.20756380
-0.83959218,-0.22763750
-0.83927218,-0.25179380
-0.83895218,-0.27782190
-0.83863218,-0.29789560
-0.83831218,-0.31800310
-0.83799218,-0.34811370
-0.83767218,-0.36818750
-0.83735218,-0.38826120
-0.83703218,-0.41506480
-0.83671218,-0.43546930
-0.83639218,-0.44567160
-0.83607218,-0.45587390
-0.83575218,-0.47627850
-0.83543218,-0.49668310
-0.83511218,-0.49668310
-0.83479218,-0.50688530
-0.83447218,-0.52728990
-0.83415218,-0.52728990
-0.83383218,-0.53749220
-0.83351218,-0.55657480
-0.83319218,-0.55657480
-0.83287218,-0.55657480
-0.83255218,-0.55789680
-0.83223218,-0.55789680
-0.83191218,-0.56694250
-0.83159218,-0.55657480
-0.83127218,-0.55657480
-0.83095218,-0.54620710
-0.83063218,-0.54620710
-0.83031218,-0.53583940
-0.82999218,-0.52547160
-0.82967218,-0.51510390
-0.82935218,-0.50473620
-0.82903218,-0.49436860
-0.82871218,-0.48400080
-0.82839218,-0.46326540
-0.82807218,-0.44959060
-0.82775218,-0.43905750
-0.82743218,-0.41799120
-0.82711218,-0.39692500
-0.82679218,-0.37585880
-0.82647218,-0.35479250
-0.82615218,-0.32319310
-0.82583218,-0.30209140
-0.82551218,-0.28545330
-0.82519218,-0.26405510
-0.82487218,-0.21782640
-0.82455218,-0.19986060
-0.82423218,-0.17846240
-0.82391218,-0.14636510
-0.82359218,-0.11426780
-0.82327218,-0.08217050
-0.82295218,-0.06077231
-0.82263218,-0.02867502
-0.82231218,0.00342227
-0.82199218,0.03551956
-0.82167218,0.05691775
-0.82135218,0.08901504
-0.82103218,0.12111230
-0.82071218,0.14251050
-0.82039218,0.17460780
-0.82007218,0.20990100
-0.81975218,0.23163000
-0.81943218,0.25335900
-0.81911218,0.28595260
-0.81879218,0.30299700
-0.81847218,0.34027520
-0.81815218,0.36204080
-0.81783218,0.38376980
-0.81751218,0.40549880
-0.81719218,0.42722790
-0.81687218,0.44895690
-0.81655218,0.47068590
-0.81623218,0.48155040
-0.81591218,0.50327940
-0.81559218,0.51414390
-0.81527218,0.53300210
-0.81495218,0.54673750
-0.81463218,0.56609180
-0.81431218,0.57712180
-0.81399218,0.58815180
-0.81367218,0.58815180
-0.81335218,0.59918170
-0.81303218,0.59918170
-0.81271218,0.59918170
-0.81239218,0.59918170
-0.81207218,0.59918170
-0.81175218,0.59918170
-0.81143218,0.59918170
-0.81111218,0.59918170
-0.81079218,0.59697230
-0.81047218,0.58577700
-0.81015218,0.56609180
-0.80983218,0.56338630
-0.80951218,0.55219100
-0.80919218,0.53300210
-0.80887218,0.52980020
-0.80855218,0.50740950
-0.80823218,0.48501880
-0.80791218,0.48082460
-0.80759218,0.44023740
-0.80727218,0.43538150
-0.80695218,0.40665130
-0.80663218,0.38993840
-0.80631218,0.36183230
-0.80599218,0.34445700
-0.80567218,0.31037470
-0.80535218,0.28765320
