t;U
308.974;8.069
309.973;8.063
310.974;8.0569
311.973;8.0503
312.974;8.0454
313.973;8.0389
314.974;8.0335
315.973;8.0272
316.973;8.021
317.974;8.0158
318.973;8.01
319.973;8.0035
320.974;7.9994
321.973;7.9919
322.973;7.9861
323.974;7.9813
324.973;7.974
325.974;7.9688
326.973;7.9628
327.974;7.9572
328.973;7.9509
329.974;7.9453
330.973;7.9385
331.974;7.9339
332.973;7.9254
333.974;7.9224
334.973;7.9142
335.974;7.9091
336.973;7.9022
337.974;7.8976
338.973;7.8911
339.974;7.8862
340.973;7.8791
341.973;7.8736
342.974;7.8683
343.973;7.8614
344.974;7.8569
345.973;7.8498
346.974;7.844
347.973;7.8373
348.974;7.8316
349.973;7.8255
350.974;7.8202
351.973;7.8138
352.973;7.8081
353.973;7.8017
354.974;7.7967
355.973;7.7899
356.974;7.7848
357.973;7.7785
358.973;7.7724
359.974;7.7669
360.973;7.76
361.974;7.7557
362.973;7.7486
363.974;7.7429
364.973;7.7368
365.974;7.7311
366.973;7.723
367.974;7.7201
368.973;7.714
369.974;7.7086
370.973;7.7015
371.973;7.6959
372.974;7.6908
373.973;7.6851
374.974;7.6815
375.973;7.6752
376.973;7.6682
377.973;7.6618
378.974;7.6605
379.973;7.6523
380.974;7.6486
381.973;7.641
382.973;7.6364
383.973;7.6295
384.973;7.6251
385.973;7.6187
386.973;7.6142
387.973;7.6086
388.973;7.6038
389.974;7.5997
390.973;7.5929
391.973;7.5868
392.974;7.5825
393.973;7.5767
394.974;7.5709
395.973;7.5645
396.974;7.5589
397.973;7.5537
398.974;7.5481
399.973;7.5419
400.974;7.5365
401.973;7.5303
402.974;7.5252
403.973;7.5201
404.974;7.5145
405.974;7.51
406.973;7.5045
407.974;7.4984
408.973;7.4924
409.973;7.4863
410.973;7.4798
411.973;7.4741
412.973;7.467
413.973;7.4612
414.973;7.4552
415.973;7.4482
416.974;7.4416
417.973;7.4363
418.973;7.4315
419.974;7.4242
420.973;7.4201
421.974;7.4145
422.973;7.4097
423.973;7.4036
424.974;7.3982
425.973;7.393
426.973;7.3869
427.974;7.3827
428.973;7.377
429.973;7.371
430.974;7.3682
431.973;7.3619
432.973;7.357
433.973;7.3528
434.973;7.3473
435.973;7.3409
436.973;7.3369
437.974;7.3332
438.973;7.3271
439.973;7.3219
440.974;7.319
441.973;7.3114
442.974;7.3095
443.973;7.3023
444.973;7.2962
445.973;7.2924
446.974;7.2875
447.973;7.2821
448.973;7.2753
449.973;7.2703
450.973;7.2643
451.974;7.2595
452.973;7.2543
453.973;7.2493
454.973;7.2436
455.973;7.238
456.973;7.2326
457.973;7.2271
458.973;7.2214
459.973;7.2167
460.974;7.2116
461.973;7.2065
462.973;7.1999
463.973;7.1954
464.974;7.1908
465.973;7.1839
466.974;7.179
467.973;7.1731
468.974;7.1675
469.973;7.1621
470.974;7.1567
471.973;7.1516
472.974;7.1478
473.973;7.1416
474.974;7.1359
475.973;7.1326
476.974;7.1276
477.973;7.1204
478.974;7.1157
479.973;7.1102
480.974;7.106
