01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2814     135    1408    33,6
   2819    33,6    1410     135
   2824    33,6    1413    33,6
   2829    67,3    1415    67,3
   2834    33,6    1418     303
   2839    33,6    1420     168
   2844    67,3    1422    33,6
   2849     0,0    1425    67,3
   2854     0,0    1427    33,6
   2859    33,6    1430     0,0
   2864    33,6    1432    67,3
   2869    33,6    1435    67,3
   2874    33,6    1437     101
   2879    33,6    1440    33,6
   2884     0,0    1442     0,0
   2889     0,0    1445    67,3
   2894    33,6    1447     0,0
   2899     101    1450    67,3
   2899    27,0    1450    45,0
   2901    39,0    1451    55,0
   2903    34,0    1452    57,0
   2905    30,0    1453    54,0
   2907    30,0    1454    57,0
   2909    44,0    1455    74,0
   2911    32,0    1456    59,0
   2913    44,0    1457    67,0
   2915    29,0    1458    69,0
   2917    25,0    1459    84,0
   2919    25,0    1460    70,0
   2921    26,0    1461    76,0
   2923    32,0    1462    79,0
   2925    31,0    1463     102
   2927    36,0    1464     111
   2929    24,0    1465    94,0
   2931    43,0    1466     134
   2933    40,0    1467     158
   2935    37,0    1468     205
   2937    52,0    1469     268
   2939    57,0    1470     406
   2941    57,0    1471     643
   2943     100    1472    1247
   2945     178    1473    2404
   2947     294    1474    4176
   2949     332    1475    5391
   2951     338    1476    5398
   2953     282    1477    4457
   2955     222    1478    3091
   2957     170    1479    1805
   2959    74,0    1480     928
   2961    48,0    1481     414
   2963    49,0    1482     331
   2965    49,0    1483     298
   2967    51,0    1484     433
   2969    64,0    1485     575
   2971    62,0    1486     633
   2973    64,0    1487     680
   2975    49,0    1488     598
   2977    64,0    1489     411
   2979    30,0    1490     263
   2981    35,0    1491     187
   2983    39,0    1492     116
   2985    34,0    1493    92,0
   2987    27,0    1494    92,0
   2989    31,0    1495    80,0
   2991    35,0    1496    80,0
   2993    25,0    1497    67,0
   2995    20,0    1498    64,0
   2997    26,0    1499    61,0
   2999    25,0    1500    59,0
   3004     0,0    1502    67,3
   3009     0,0    1505     0,0
   3014     0,0    1508    33,6
   3019    67,3    1510    67,3
   3024    33,6    1512     0,0
