01.01.2007   N1106
Образец: "20c"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2504     235    1253     101
   2509     202    1256    33,6
   2514     202    1258    67,2
   2519     437    1261     101
   2524    67,2    1263     0,0
   2529     134    1266    33,6
   2534     471    1268     0,0
   2539     235    1271    33,6
   2544     168    1273    67,2
   2549     134    1276     0,0
   2554     101    1278    67,2
   2559     269    1281    33,6
   2564     370    1283    33,6
   2569    33,6    1286     0,0
   2574     168    1288    33,6
   2579     134    1291    33,6
   2584     269    1293     370
   2589     336    1296     134
   2594     168    1298    67,2
   2599    67,2    1301    67,2
   2604     168    1303    67,2
   2609     168    1306     0,0
   2614     134    1308     0,0
   2619     168    1311     101
   2624     202    1313     101
   2629     235    1316     101
   2634     134    1318     0,0
   2639     134    1321     0,0
   2644    33,6    1323    67,2
   2649     168    1326     0,0
   2654     202    1328    33,6
   2659    33,6    1331    33,6
   2664    67,2    1333     0,0
   2669     168    1336    67,2
   2674     134    1338    67,2
   2679     168    1340    33,6
   2684     101    1343    33,6
   2689     0,0    1345     101
   2694     101    1348    33,6
   2699     202    1351    33,6
   2704     168    1353    67,2
   2709     101    1356     0,0
   2714     336    1358     101
   2719    33,6    1360    33,6
   2724     269    1363     0,0
   2729     168    1365     101
   2734     134    1368    33,6
   2739     101    1370    33,6
   2744     168    1373    67,2
   2749     101    1375    67,2
   2754     101    1378    33,6
   2759    33,6    1380    33,6
   2764     168    1383     202
   2769    33,6    1385     303
   2774     403    1388    2454
   2779     370    1390    5480
   2784     370    1393    3765
   2789     202    1395    1143
   2794     235    1398     538
   2799     101    1400     134
   2804     101    1403     168
   2809     134    1405     235
   2814     202    1408     101
   2819     202    1410     168
   2824     168    1413     101
   2829     202    1415    67,2
   2834    67,2    1418     134
   2839     101    1420    67,2
   2844     202    1422    67,2
   2849    67,2    1425     134
   2854     101    1427     101
   2859     202    1430     538
   2864     202    1432    1412
   2869     235    1435    1177
   2874     269    1437    1278
   2879     202    1440     437
   2884     101    1442     134
   2889    67,2    1445    67,2
   2894    67,2    1447     101
   2899     134    1450    67,2
   2904     134    1452    33,6
   2909    67,2    1455    33,6
   2914     168    1457     101
   2919    67,2    1460    67,2
   2924     101    1462     134
   2929     168    1465    67,2
   2934    67,2    1467    67,2
   2939     101    1470    67,2
   2944     134    1472     134
   2949    67,2    1475     101
   2954    33,6    1477    33,6
   2959     101    1480     134
   2964     134    1482     134
   2969    33,6    1485    67,2
   2974     168    1487     134
   2979    67,2    1490     101
   2984    33,6    1492    67,2
   2989    33,6    1495    67,2
   2994     134    1498     101
   2999     202    1500     134
   3004     0,0    1502     134
   3009    67,2    1505     101
   3014    67,2    1508     134
   3019     168    1510     202
   3024    67,2    1512    67,2
   3029    33,6    1515    33,6
   3034    67,2    1518    33,6
   3039    33,6    1520    67,2
   3044     101    1522     168
   3049    67,2    1525     202
   3054    67,2    1528     101
   3059    33,6    1530     168
   3064    67,2    1533     437
   3069    67,2    1535    1748
   3074     639    1538   14691
   3079    1278    1540   19700
   3084    1143    1543   13582
   3089     572    1545    6051
   3094     269    1548    1580
   3099     134    1550     168
   3104    67,2    1553     168
   3109    67,2    1555     202
   3114     101    1558     134
   3119    33,6    1560     202
   3124    67,2    1563    67,2
   3129    33,6    1565     168
   3134     0,0    1568     134
   3139    67,2    1570     101
   3144    33,6    1573    67,2
   3149    33,6    1575     134
