01.01.2007   N1106
Образец: "Bi"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2864    33,6    1432    33,6
   2869     0,0    1435    67,2
   2874     0,0    1437    33,6
   2879    33,6    1440     0,0
   2884     0,0    1442     0,0
   2889     0,0    1445     0,0
   2894    33,6    1447     0,0
   2899     0,0    1450     0,0
   2904     0,0    1452     0,0
   2909    33,6    1455     0,0
   2914    67,2    1457     0,0
   2919     0,0    1460     0,0
   2924     0,0    1462    33,6
   2929     0,0    1465    33,6
   2934     0,0    1467    67,2
   2939    33,6    1470    33,6
   2944    33,6    1472     0,0
   2949     0,0    1475    67,2
   2954     0,0    1477     0,0
   2959     0,0    1480    33,6
   2964     0,0    1482     0,0
   2969    33,6    1485     0,0
   2974    67,2    1487    33,6
   2979     0,0    1490    67,2
   2984     0,0    1492    67,2
   2989    33,6    1495    67,2
   2994     0,0    1498    33,6
   2999     0,0    1500    33,6
   3004     0,0    1502     0,0
   3009    33,6    1505     0,0
   3014    33,6    1508     0,0
   3019    33,6    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034    33,6    1518     0,0
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049    33,6    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533    67,2
   3069     0,0    1535    33,6
   3074     0,0    1538    67,2
   3079     0,0    1540    33,6
   3084     0,0    1543     0,0
   3089     0,0    1545    67,2
   3094     0,0    1548    67,2
   3099     0,0    1550     0,0
   3104    33,6    1553    33,6
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560    33,6
   3124     0,0    1563    33,6
   3129     0,0    1565    33,6
   3134    33,6    1568     0,0
   3139    33,6    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
