01.01.2007   N1106
Образец: "Pt"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2444    33,6    1223    33,6
   2449     101    1226     0,0
   2454     0,0    1229    33,6
   2459    67,1    1231    67,1
   2464    33,6    1234     0,0
   2469    33,6    1236    33,6
   2474    33,6    1238    67,1
   2479     0,0    1241    33,6
   2484     0,0    1243    67,1
   2489     101    1246    67,1
   2494    33,6    1248    33,6
   2499    67,1    1251    33,6
   2504    33,6    1253     0,0
   2509     0,0    1256    33,6
   2514    67,1    1258    33,6
   2519    33,6    1261    33,6
   2524    33,6    1263    67,1
   2529    33,6    1266    33,6
   2534     0,0    1268     0,0
   2539    33,6    1271     101
   2544    67,1    1273    33,6
   2549     0,0    1276     0,0
   2554    33,6    1278    67,1
   2559    33,6    1281    67,1
   2564     0,0    1283     0,0
   2569    67,1    1286    33,6
   2574     0,0    1288    67,1
   2579    33,6    1291    67,1
   2584     0,0    1293    33,6
   2589     0,0    1296    67,1
   2594    33,6    1298    33,6
   2598    37,0    1300    76,0
   2600    36,0    1301    88,0
   2602    29,0    1302     111
   2604    29,0    1303     118
   2606    36,0    1304     181
   2608    47,0    1305     248
   2610    56,0    1306     418
   2612    63,0    1307     694
   2614    92,0    1308    1044
   2616     151    1309    1698
   2618     184    1310    2661
   2620     275    1311    3421
   2622     321    1312    3722
   2624     282    1313    3545
   2626     247    1314    2954
   2628     183    1315    2127
   2630     146    1316    1486
   2632    75,0    1317     805
   2634    54,0    1318     495
   2636    49,0    1319     361
   2638    41,0    1320     298
   2640    43,0    1321     371
   2642    69,0    1322     441
   2644    51,0    1323     471
   2646    57,0    1324     474
   2648    50,0    1325     385
   2650    46,0    1326     322
   2652    37,0    1327     197
   2654    32,0    1328     110
   2656    44,0    1329    76,0
   2658    28,0    1330    60,0
   2659    33,6    1331     134
   2664    33,6    1333    67,1
   2669     0,0    1336    33,6
   2674    67,1    1338    67,1
   2679    67,1    1340     101
   2684     0,0    1343    33,6
   2689    33,6    1345    67,1
   2694     0,0    1348    33,6
   2699    67,1    1351     0,0
   2704     0,0    1353     0,0
   2709     0,0    1356     0,0
   2714     0,0    1358    33,6
   2719    33,6    1360     0,0
   2724     0,0    1363    33,6
   2729     0,0    1365     0,0
   2734    33,6    1368    33,6
   2739    33,6    1370     0,0
   2744     0,0    1373    33,6
   2749    67,1    1375     0,0
   2754     0,0    1378     0,0
   2759     0,0    1380    33,6
   2764    67,1    1383    33,6
   2769    33,6    1385     0,0
   2774    67,1    1388    33,6
   2779     0,0    1390    33,6
   2784    33,6    1393    33,6
   2789    33,6    1395     0,0
   2794     0,0    1398     0,0
   2799    33,6    1400    33,6
   2804    33,6    1403     0,0
   2809    33,6    1405     0,0
   2814    67,1    1408    33,6
   2819    33,6    1410     0,0
   2824     0,0    1413    33,6
   2829     0,0    1415     0,0
   2834     0,0    1418     0,0
   2839     0,0    1420     0,0
   2844    33,6    1422    67,1
   2849     0,0    1425     0,0
   2854     0,0    1427    33,6
   2859     0,0    1430     0,0
   2864     0,0    1432    33,6
   2869     0,0    1435     0,0
   2874    33,6    1437    33,6
   2879     0,0    1440     0,0
   2884    33,6    1442    33,6
   2889     0,0    1445    33,6
   2894     0,0    1447     0,0
   2899    33,6    1450    33,6
   2904     0,0    1452     0,0
   2909     0,0    1455     0,0
   2914     0,0    1457    33,6
   2919     101    1460     0,0
   2924     0,0    1462    67,1
   2929     0,0    1465     0,0
   2934     0,0    1467     0,0
   2939     0,0    1470    33,6
   2944     0,0    1472     0,0
   2949     0,0    1475     0,0
   2954     0,0    1477     0,0
   2959     0,0    1480    67,1
   2964     0,0    1482     0,0
   2969    33,6    1485     0,0
   2974     0,0    1487    33,6
   2979    33,6    1490    33,6
   2984     0,0    1492    33,6
   2989     0,0    1495    33,6
   2994     0,0    1498    67,1
   2999     0,0    1500    67,1
   3004     0,0    1502    33,6
   3009    67,1    1505     0,0
   3014     0,0    1508     0,0
   3019     0,0    1510     0,0
   3024    33,6    1512     0,0
   3029     0,0    1515     0,0
   3034     0,0    1518    33,6
   3039     0,0    1520     0,0
   3044    33,6    1522    33,6
   3049     0,0    1525    33,6
   3054    33,6    1528     0,0
   3059    33,6    1530    67,1
   3064     0,0    1533     0,0
   3069     0,0    1535    67,1
   3074     0,0    1538    67,1
   3079     0,0    1540    67,1
   3084     0,0    1543     0,0
   3089     0,0    1545     0,0
   3094    33,6    1548     0,0
   3099     0,0    1550    33,6
   3104     0,0    1553    33,6
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134    33,6    1568     0,0
   3139     0,0    1570    67,1
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
