01.01.2007   N1106
Образец: "gold"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2499     0,0    1251    67,3
   2504    33,6    1253    33,6
   2509    67,3    1256    33,6
   2514     0,0    1258     0,0
   2519    67,3    1261    33,6
   2524    33,6    1263    67,3
   2529     101    1266     135
   2534    33,6    1268     269
   2539     168    1271     975
   2544     235    1273    2018
   2549     269    1276    2388
   2554     202    1278    1312
   2559    67,3    1281     437
   2564     135    1283     202
   2569     168    1286     269
   2574     168    1288     370
   2579    67,3    1291    33,6
   2584    67,3    1293     0,0
   2589    67,3    1296    33,6
   2594     0,0    1298     0,0
   2599    67,3    1301    33,6
   2604     0,0    1303     0,0
   2609    67,3    1306    33,6
   2614    33,6    1308    33,6
   2619     101    1311     0,0
   2624     0,0    1313    67,3
   2629    33,6    1316     0,0
   2634    67,3    1318    33,6
   2639    67,3    1321    33,6
   2644    67,3    1323    67,3
   2649    33,6    1326     0,0
   2654    33,6    1328    33,6
   2659     101    1331    33,6
   2664    67,3    1333    67,3
   2669     168    1336    33,6
   2674    33,6    1338    33,6
   2679    33,6    1340     0,0
   2684    67,3    1343    33,6
   2689    33,6    1345    33,6
   2694     0,0    1348    33,6
   2699     101    1351    33,6
   2704    33,6    1353     0,0
   2709    67,3    1356    67,3
   2714    33,6    1358    67,3
   2719     0,0    1360     0,0
   2724    33,6    1363    33,6
   2729     101    1365     0,0
   2734     101    1368     0,0
   2739    67,3    1370    33,6
   2744     0,0    1373     0,0
   2749     0,0    1375     0,0
   2754     0,0    1378    67,3
   2759    33,6    1380     0,0
   2764    67,3    1383    67,3
   2769    33,6    1385    67,3
   2774     168    1388     404
   2779     101    1390     807
   2784    33,6    1393     437
   2789    67,3    1395     202
   2794     0,0    1398    67,3
   2799    67,3    1400    67,3
   2804     101    1403    67,3
   2809     101    1405    33,6
   2814    67,3    1408    33,6
   2819     0,0    1410     101
   2824     101    1413    67,3
   2829    67,3    1415    33,6
   2834     0,0    1418     0,0
   2839    67,3    1420    67,3
   2844    67,3    1422     0,0
   2849     0,0    1425     0,0
   2854    33,6    1427    33,6
   2859    67,3    1430     0,0
   2864    33,6    1432    67,3
   2869    67,3    1435     0,0
   2874     0,0    1437     101
   2879     101    1440     0,0
   2884    33,6    1442    67,3
   2889    67,3    1445    67,3
   2894    33,6    1447    33,6
   2899    33,6    1450     0,0
   2904     0,0    1452     101
   2909    33,6    1455     101
   2914    67,3    1457     0,0
   2919     0,0    1460    67,3
   2924    33,6    1462    33,6
   2929     0,0    1465     0,0
   2934     0,0    1467    67,3
   2939     0,0    1470    33,6
   2944     0,0    1472     0,0
   2949     0,0    1475    33,6
   2954    33,6    1477     0,0
   2959    67,3    1480    67,3
   2964    33,6    1482    33,6
   2969     0,0    1485     0,0
   2974     0,0    1487    33,6
   2979    33,6    1490    67,3
   2984    33,6    1492    33,6
   2989    33,6    1495    67,3
   2994     0,0    1498     0,0
   2999    33,6    1500     101
