01.01.2007   N1106
Образец: "Au"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2619    33,6    1311    33,6
   2624    33,6    1313    67,3
   2629     0,0    1316    33,6
   2634    67,3    1318    67,3
   2639    33,6    1321     0,0
   2644     202    1323    33,6
   2649    33,6    1326     0,0
   2654    67,3    1328    33,6
   2659     0,0    1331    33,6
   2664    33,6    1333     0,0
   2669     0,0    1336     0,0
   2674    33,6    1338     0,0
   2679    33,6    1340    33,6
   2684    67,3    1343     0,0
   2689     101    1345    33,6
   2694     0,0    1348     0,0
   2699    67,3    1351    33,6
   2704     0,0    1353     0,0
   2709     0,0    1356     0,0
   2714    67,3    1358     0,0
   2719     0,0    1360    33,6
   2724    33,6    1363    67,3
   2729     101    1365    33,6
   2734     135    1368     101
   2739     101    1370    33,6
   2744     0,0    1373    33,6
   2749    33,6    1375    67,3
   2754    67,3    1378    33,6
   2759    33,6    1380    33,6
   2764    33,6    1383    67,3
   2769    33,6    1385    33,6
   2774    67,3    1388     101
   2779    33,6    1390     101
   2784     101    1393     168
   2789     0,0    1395    33,6
   2794     135    1398    33,6
   2799    33,6    1400    33,6
   2804     0,0    1403    67,3
   2809     0,0    1405    67,3
   2814     0,0    1408    33,6
   2819     0,0    1410    33,6
   2824    67,3    1413    33,6
   2829    67,3    1415     0,0
   2834     0,0    1418     0,0
   2839     0,0    1420    33,6
   2844     0,0    1422    33,6
   2849     0,0    1425    67,3
   2854    67,3    1427    33,6
   2859     0,0    1430    33,6
   2864     0,0    1432    33,6
   2869    33,6    1435    33,6
   2874    67,3    1437    67,3
   2879    33,6    1440     0,0
   2884     0,0    1442     0,0
   2889    67,3    1445    33,6
   2894     0,0    1447    67,3
   2899    33,6    1450    33,6
   2904     135    1452    67,3
   2909    33,6    1455     101
   2914    33,6    1457     101
   2919     0,0    1460     202
   2924    33,6    1462    33,6
   2929    33,6    1465    33,6
   2934    67,3    1467    67,3
   2939    33,6    1470    33,6
   2944     0,0    1472    33,6
   2949    67,3    1475     0,0
   2954     101    1477     168
   2959     0,0    1480     0,0
   2964     0,0    1482    33,6
   2969     0,0    1485     0,0
   2974     101    1487     0,0
   2979     0,0    1490    67,3
   2984    33,6    1492     0,0
   2989     0,0    1495    33,6
   2994    33,6    1498    33,6
   2999     101    1500    33,6
   3004     0,0    1502     0,0
   3009    33,6    1505     0,0
   3014    67,3    1508     101
   3019     0,0    1510    67,3
   3024     0,0    1512     0,0
   3029    33,6    1515    67,3
   3034     0,0    1518    33,6
   3039     0,0    1520    67,3
   3044     0,0    1522     101
   3049     0,0    1525     0,0
   3054     0,0    1528    33,6
   3059    33,6    1530    33,6
   3064     0,0    1533     0,0
   3069     0,0    1535    67,3
   3074     0,0    1538     0,0
   3079     0,0    1540     0,0
   3084     0,0    1543    67,3
   3089     0,0    1545    33,6
   3094     0,0    1548    33,6
   3099     0,0    1550     101
   3104     0,0    1553     101
   3109     0,0    1555     0,0
   3114     0,0    1558    67,3
   3119    33,6    1560     101
   3124     0,0    1563    33,6
   3129     0,0    1565    67,3
   3134    33,6    1568    67,3
   3139    33,6    1570    33,6
   3144     0,0    1573    67,3
   3149     0,0    1575    67,3
